level_0,Region,Subregion,Country
28QDE_00,Africa,Western Africa,Mauritania
28QDE_01,Africa,Western Africa,Mauritania
28QDE_02,Africa,Western Africa,Mauritania
28QDE_03,Africa,Western Africa,Mauritania
28QDE_04,Africa,Western Africa,Mauritania
28QDE_05,Africa,Western Africa,Mauritania
28QDE_06,Africa,Western Africa,Mauritania
28QDE_07,Africa,Western Africa,Mauritania
28QDE_08,Africa,Western Africa,Mauritania
28QDE_09,Africa,Western Africa,Mauritania
28QDE_10,Africa,Western Africa,Mauritania
28QDE_11,Africa,Western Africa,Mauritania
28QDE_12,Africa,Western Africa,Mauritania
28QDE_13,Africa,Western Africa,Mauritania
28QDE_14,Africa,Western Africa,Mauritania
28QDE_15,Africa,Western Africa,Mauritania
28QDE_16,Africa,Western Africa,Mauritania
28QDE_17,Africa,Western Africa,Mauritania
28QDE_18,Africa,Western Africa,Mauritania
28QDE_19,Africa,Western Africa,Mauritania
28QDE_20,Africa,Western Africa,Mauritania
28QDE_21,Africa,Western Africa,Mauritania
28QDE_22,Africa,Western Africa,Mauritania
28QDE_23,Africa,Western Africa,Mauritania
28QDE_24,Africa,Western Africa,Mauritania
28QDE_25,Africa,Western Africa,Mauritania
28QDE_26,Africa,Western Africa,Mauritania
28QDE_27,Africa,Western Africa,Mauritania
28QDE_28,Africa,Western Africa,Mauritania
28QDE_29,Africa,Western Africa,Mauritania
29NMG_00,Africa,Western Africa,Liberia
29NMG_01,Africa,Western Africa,Liberia
29NMG_02,Africa,Western Africa,Liberia
29NMG_03,Africa,Western Africa,Liberia
29NMG_04,Africa,Western Africa,Liberia
29NMG_05,Africa,Western Africa,Liberia
29NMG_06,Africa,Western Africa,Liberia
29NMG_07,Africa,Western Africa,Liberia
29NMG_08,Africa,Western Africa,Liberia
29NMG_09,Africa,Western Africa,Liberia
29NMG_10,Africa,Western Africa,Liberia
29NMG_11,Africa,Western Africa,Liberia
29NMG_12,Africa,Western Africa,Liberia
29NMG_13,Africa,Western Africa,Liberia
29NMG_14,Africa,Western Africa,Liberia
29NMG_15,Africa,Western Africa,Liberia
29NMG_16,Africa,Western Africa,Liberia
29NMG_17,Africa,Western Africa,Liberia
29NMG_18,Africa,Western Africa,Liberia
29NMG_19,Africa,Western Africa,Liberia
29NMG_20,Africa,Western Africa,Liberia
29NMG_21,Africa,Western Africa,Liberia
29NMG_22,Africa,Western Africa,Liberia
29NMG_23,Africa,Western Africa,Liberia
29NMG_24,Africa,Western Africa,Liberia
29NMG_25,Africa,Western Africa,Liberia
29NMG_26,Africa,Western Africa,Liberia
29NMG_27,Africa,Western Africa,Liberia
29NMG_28,Africa,Western Africa,Liberia
29NMG_29,Africa,Western Africa,Liberia
29PKL_00,Africa,Western Africa,Guinea
29PKL_00,Africa,Western Africa,Sierra Leone
29PKL_01,Africa,Western Africa,Guinea
29PKL_01,Africa,Western Africa,Sierra Leone
29PKL_02,Africa,Western Africa,Guinea
29PKL_02,Africa,Western Africa,Sierra Leone
29PKL_03,Africa,Western Africa,Guinea
29PKL_03,Africa,Western Africa,Sierra Leone
29PKL_04,Africa,Western Africa,Guinea
29PKL_04,Africa,Western Africa,Sierra Leone
29PKL_05,Africa,Western Africa,Guinea
29PKL_05,Africa,Western Africa,Sierra Leone
29PKL_06,Africa,Western Africa,Guinea
29PKL_06,Africa,Western Africa,Sierra Leone
29PKL_07,Africa,Western Africa,Guinea
29PKL_07,Africa,Western Africa,Sierra Leone
29PKL_08,Africa,Western Africa,Guinea
29PKL_08,Africa,Western Africa,Sierra Leone
29PKL_09,Africa,Western Africa,Guinea
29PKL_09,Africa,Western Africa,Sierra Leone
29PKL_10,Africa,Western Africa,Guinea
29PKL_10,Africa,Western Africa,Sierra Leone
29PKL_11,Africa,Western Africa,Guinea
29PKL_11,Africa,Western Africa,Sierra Leone
29PKL_12,Africa,Western Africa,Guinea
29PKL_12,Africa,Western Africa,Sierra Leone
29PKL_13,Africa,Western Africa,Guinea
29PKL_13,Africa,Western Africa,Sierra Leone
29PKL_14,Africa,Western Africa,Guinea
29PKL_14,Africa,Western Africa,Sierra Leone
29PKL_15,Africa,Western Africa,Guinea
29PKL_15,Africa,Western Africa,Sierra Leone
29PKL_16,Africa,Western Africa,Guinea
29PKL_16,Africa,Western Africa,Sierra Leone
29PKL_17,Africa,Western Africa,Guinea
29PKL_17,Africa,Western Africa,Sierra Leone
29PKL_18,Africa,Western Africa,Guinea
29PKL_18,Africa,Western Africa,Sierra Leone
29PKL_19,Africa,Western Africa,Guinea
29PKL_19,Africa,Western Africa,Sierra Leone
29PKL_20,Africa,Western Africa,Guinea
29PKL_20,Africa,Western Africa,Sierra Leone
29PKL_21,Africa,Western Africa,Guinea
29PKL_21,Africa,Western Africa,Sierra Leone
29PKL_22,Africa,Western Africa,Guinea
29PKL_22,Africa,Western Africa,Sierra Leone
29PKL_23,Africa,Western Africa,Guinea
29PKL_23,Africa,Western Africa,Sierra Leone
29PKL_24,Africa,Western Africa,Guinea
29PKL_24,Africa,Western Africa,Sierra Leone
29PKL_25,Africa,Western Africa,Guinea
29PKL_25,Africa,Western Africa,Sierra Leone
29PKL_26,Africa,Western Africa,Guinea
29PKL_26,Africa,Western Africa,Sierra Leone
29PKL_27,Africa,Western Africa,Guinea
29PKL_27,Africa,Western Africa,Sierra Leone
29PKL_28,Africa,Western Africa,Guinea
29PKL_28,Africa,Western Africa,Sierra Leone
29PKL_29,Africa,Western Africa,Guinea
29PKL_29,Africa,Western Africa,Sierra Leone
29PNM_00,Africa,Western Africa,Guinea
29PNM_00,Africa,Western Africa,Mali
29PNM_01,Africa,Western Africa,Guinea
29PNM_01,Africa,Western Africa,Mali
29PNM_02,Africa,Western Africa,Ivory Coast
29PNM_02,Africa,Western Africa,Guinea
29PNM_03,Africa,Western Africa,Guinea
29PNM_03,Africa,Western Africa,Mali
29PNM_04,Africa,Western Africa,Guinea
29PNM_04,Africa,Western Africa,Mali
29PNM_05,Africa,Western Africa,Guinea
29PNM_05,Africa,Western Africa,Mali
29PNM_06,Africa,Western Africa,Ivory Coast
29PNM_06,Africa,Western Africa,Guinea
29PNM_06,Africa,Western Africa,Mali
29PNM_07,Africa,Western Africa,Ivory Coast
29PNM_07,Africa,Western Africa,Guinea
29PNM_08,Africa,Western Africa,Guinea
29PNM_08,Africa,Western Africa,Mali
29PNM_09,Africa,Western Africa,Ivory Coast
29PNM_09,Africa,Western Africa,Guinea
29PNM_09,Africa,Western Africa,Mali
29PNM_10,Africa,Western Africa,Ivory Coast
29PNM_10,Africa,Western Africa,Guinea
29PNM_10,Africa,Western Africa,Mali
29PNM_11,Africa,Western Africa,Guinea
29PNM_11,Africa,Western Africa,Mali
29PNM_12,Africa,Western Africa,Ivory Coast
29PNM_12,Africa,Western Africa,Guinea
29PNM_13,Africa,Western Africa,Ivory Coast
29PNM_13,Africa,Western Africa,Guinea
