identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
28QDE_00,0.0,0.0,69.0,99.74525811423253,0.0,0.0,0.0,0.0
28QDE_01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
28QDE_02,0.0,0.0,67.44635193133047,98.18159588956296,0.0,35.0,0.0,66.88161993769471
28QDE_03,47.5,0.0,89.0454050828419,78.1780487804878,0.0,51.921692169216925,79.12405446293495,73.34843950406156
28QDE_04,35.0,0.0,57.30236486486486,82.52710668637835,0.0,65.64073226544622,35.0,66.51070684100814
28QDE_05,0.0,0.0,0.0,98.51388698028796,0.0,0.0,0.0,38.0
28QDE_06,0.0,0.0,0.0,97.4794921875,0.0,0.0,0.0,0.0
28QDE_07,0.0,0.0,0.0,98.35659790039062,0.0,0.0,0.0,0.0
28QDE_08,0.0,0.0,0.0,99.89480590820312,0.0,0.0,0.0,0.0
28QDE_09,0.0,0.0,0.0,98.99155918491948,0.0,0.0,0.0,63.666666666666664
28QDE_10,0.0,0.0,0.0,98.66783654286324,0.0,0.0,0.0,65.5
28QDE_11,0.0,0.0,0.0,99.64833068847656,0.0,0.0,0.0,0.0
28QDE_12,69.0,0.0,71.25670498084291,98.14223318825476,0.0,0.0,0.0,69.5
28QDE_13,0.0,0.0,0.0,98.24004333628345,0.0,0.0,0.0,51.5
28QDE_14,0.0,0.0,0.0,94.68658447265625,0.0,0.0,0.0,0.0
28QDE_15,0.0,0.0,0.0,95.2186279296875,0.0,0.0,0.0,0.0
28QDE_16,0.0,0.0,0.0,94.45508881347641,0.0,0.0,0.0,37.440677966101696
28QDE_17,37.0,0.0,66.11764705882354,97.375667755426,0.0,0.0,0.0,0.0
28QDE_18,36.0,0.0,37.0,93.8451708449113,0.0,0.0,0.0,41.0
28QDE_19,0.0,0.0,0.0,92.532958984375,0.0,0.0,0.0,0.0
28QDE_20,0.0,0.0,36.0,88.00603729639448,0.0,36.0,0.0,38.6640625
28QDE_21,0.0,0.0,65.74418604651163,95.79626428429378,0.0,0.0,0.0,34.2962962962963
28QDE_22,42.0,0.0,0.0,95.85259286390135,0.0,0.0,0.0,38.0
28QDE_23,0.0,0.0,63.0,92.21785305561913,0.0,0.0,0.0,0.0
28QDE_24,0.0,0.0,0.0,96.24359130859375,0.0,0.0,0.0,0.0
28QDE_25,0.0,0.0,0.0,94.85447937821618,0.0,0.0,0.0,62.40425531914894
28QDE_26,0.0,0.0,0.0,98.40921644922561,0.0,0.0,0.0,67.0
28QDE_27,0.0,0.0,0.0,96.62186927306048,0.0,0.0,0.0,63.94642857142857
28QDE_28,0.0,0.0,0.0,95.88246154785156,0.0,0.0,0.0,0.0
28QDE_29,0.0,0.0,0.0,96.35467529296875,0.0,0.0,0.0,0.0
29NMG_00,0.0,99.49093220076263,0.0,71.0,0.0,0.0,0.0,0.0
29NMG_01,36.0,0.0,79.95648926237162,55.89029535864979,0.0,71.53032704221293,61.42895227939216,73.14157189470016
29NMG_02,0.0,61.41510817748441,36.0,49.54959053685168,53.79477611940298,87.24368548489869,0.0,77.92375575887353
29NMG_03,0.0,54.40755318618903,0.0,0.0,0.0,76.21550643352029,0.0,0.0
29NMG_04,0.0,0.0,63.95214651437574,38.1764705882353,0.0,38.61648528819025,63.00793414658336,65.86641512463372
29NMG_05,0.0,0.0,72.9490161001789,40.47398843930636,36.0,37.442382454338734,54.39477451682176,67.15915036099194
29NMG_06,0.0,0.0,0.0,0.0,0.0,94.93134500077439,63.25,82.47798927745806
29NMG_07,0.0,0.0,0.0,0.0,0.0,99.79158200290276,0.0,80.01234567901234
29NMG_08,0.0,0.0,0.0,0.0,0.0,99.96630859375,0.0,0.0
29NMG_09,0.0,91.73291508296316,0.0,0.0,39.32,0.0,0.0,0.0
29NMG_10,0.0,0.0,0.0,64.84672897196262,0.0,88.79612271508353,0.0,73.15718157181571
29NMG_11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
29NMG_12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
29NMG_13,0.0,0.0,72.65822784810126,34.0,0.0,98.81231418580649,0.0,57.35687732342007
29NMG_14,0.0,90.05671641791045,36.0,0.0,0.0,99.81959293083564,0.0,60.0
29NMG_15,0.0,0.0,0.0,0.0,0.0,99.00745478809074,0.0,74.64431486880467
29NMG_16,0.0,0.0,0.0,0.0,0.0,99.55304278825612,0.0,66.0
29NMG_17,0.0,0.0,69.75135869565217,36.47739221871714,0.0,82.48382202254275,70.26315789473684,72.73689045395392
29NMG_18,0.0,0.0,61.0,0.0,0.0,99.9276132045236,0.0,0.0
29NMG_19,0.0,0.0,35.0,0.0,0.0,97.16798059429958,0.0,69.73852459016393
29NMG_20,0.0,0.0,61.7906976744186,0.0,0.0,99.3900805724158,0.0,0.0
29NMG_21,36.0,0.0,61.01165501165501,45.25,0.0,93.63177233302125,0.0,77.97260597473138
29NMG_22,0.0,0.0,0.0,0.0,0.0,99.92851257324219,0.0,0.0
29NMG_23,0.0,0.0,0.0,36.0,0.0,99.85092406865823,0.0,64.4931506849315
29NMG_24,0.0,0.0,0.0,0.0,0.0,99.99748229980469,0.0,0.0
29NMG_25,0.0,0.0,0.0,35.33522727272727,0.0,87.88370167091567,0.0,66.76367675645653
29NMG_26,0.0,0.0,35.87096774193548,34.83510638297872,0.0,95.31527920201361,0.0,64.85583941605839
29NMG_27,0.0,0.0,71.33515881708652,35.0,35.0,97.6702536748744,37.0,59.62068965517241
29NMG_28,0.0,0.0,0.0,0.0,0.0,99.51577212446777,0.0,68.0
29NMG_29,0.0,0.0,73.25555555555556,0.0,0.0,98.83679674846438,0.0,0.0
29PKL_00,0.0,93.31838480703239,41.98571428571429,65.59060402684564,0.0,76.80020361415119,55.666666666666664,82.67902977412732
29PKL_01,0.0,0.0,97.22748096861974,40.05135135135135,0.0,89.96124604012671,77.03790087463557,80.32362613415745
29PKL_02,0.0,0.0,0.0,34.0,0.0,99.99273604053167,0.0,63.0
29PKL_03,0.0,0.0,77.91190036900369,53.741878937277455,0.0,52.81224192373087,65.54731894894253,71.63621086148947
29PKL_04,0.0,0.0,57.94805194805195,57.947592067988666,0.0,51.10583153347732,67.58184764991896,75.13731228504902
