identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
28QDE_00,0,0,3,65533,0,0,0,0
28QDE_01,0,0,0,65536,0,0,0,0
28QDE_02,0,0,233,64616,0,45,0,642
28QDE_03,6,0,56976,2460,0,1111,2644,2339
28QDE_04,4,0,592,53437,0,874,75,10554
28QDE_05,0,0,0,65493,0,0,0,43
28QDE_06,0,0,0,65536,0,0,0,0
28QDE_07,0,0,0,65536,0,0,0,0
28QDE_08,0,0,0,65536,0,0,0,0
28QDE_09,0,0,0,65515,0,0,0,21
28QDE_10,0,0,0,65534,0,0,0,2
28QDE_11,0,0,0,65536,0,0,0,0
28QDE_12,1,0,261,65252,0,0,0,22
28QDE_13,0,0,0,65534,0,0,0,2
28QDE_14,0,0,0,65536,0,0,0,0
28QDE_15,0,0,0,65536,0,0,0,0
28QDE_16,0,0,0,65418,0,0,0,118
28QDE_17,1,0,17,65518,0,0,0,0
28QDE_18,4,0,20,65498,0,0,0,14
28QDE_19,0,0,0,65536,0,0,0,0
28QDE_20,0,0,3,65261,0,144,0,128
28QDE_21,0,0,86,65369,0,0,0,81
28QDE_22,5,0,0,65526,0,0,0,5
28QDE_23,0,0,1,65535,0,0,0,0
28QDE_24,0,0,0,65536,0,0,0,0
28QDE_25,0,0,0,65489,0,0,0,47
28QDE_26,0,0,0,65535,0,0,0,1
28QDE_27,0,0,0,65480,0,0,0,56
28QDE_28,0,0,0,65536,0,0,0,0
28QDE_29,0,0,0,65536,0,0,0,0
29NMG_00,0,64514,0,1022,0,0,0,0
29NMG_01,34,0,16065,237,0,13882,3751,31567
29NMG_02,0,8181,2,1099,1608,39235,0,15411
29NMG_03,0,20071,0,0,0,45465,0,0
29NMG_04,0,0,5078,493,0,14886,20166,24913
29NMG_05,0,0,1118,173,33,13633,2794,47785
29NMG_06,0,0,0,0,0,45197,8,20331
29NMG_07,0,0,0,0,0,65455,0,81
29NMG_08,0,0,0,0,0,65536,0,0
29NMG_09,0,65511,0,0,25,0,0,0
29NMG_10,0,0,0,535,0,40647,0,24354
29NMG_11,0,0,0,0,0,65536,0,0
29NMG_12,0,0,0,0,0,65536,0,0
29NMG_13,0,0,79,2,0,64917,0,538
29NMG_14,0,1340,28,0,0,64166,0,2
29NMG_15,0,0,0,0,0,65193,0,343
29NMG_16,0,0,0,0,0,65532,0,4
29NMG_17,0,0,736,951,0,50748,38,13063
29NMG_18,0,0,13,0,0,65523,0,0
29NMG_19,0,0,5,0,0,64311,0,1220
29NMG_20,0,0,129,0,0,65407,0,0
29NMG_21,1,0,429,28,0,56609,0,8469
29NMG_22,0,0,0,0,0,65536,0,0
29NMG_23,0,0,0,8,0,65309,0,219
29NMG_24,0,0,0,0,0,65536,0,0
29NMG_25,0,0,0,352,0,61583,0,3601
29NMG_26,0,0,62,564,0,64362,0,548
29NMG_27,0,0,913,2,41,64492,1,87
29NMG_28,0,0,0,0,0,65527,0,9
29NMG_29,0,0,90,0,0,65446,0,0
29PKL_00,0,21273,560,4470,0,15716,141,23376
29PKL_01,0,0,29031,1110,0,9470,686,25239
29PKL_02,0,0,0,4,0,65529,0,3
29PKL_03,0,0,4336,18255,0,8234,23405,11306
29PKL_04,0,0,154,7766,0,10186,617,46813
29PKL_05,0,884,0,16532,0,27528,2,20590
29PKL_06,0,0,256,149,0,20441,24,44666
29PKL_07,0,0,40,6123,0,9615,197,49561
29PKL_08,0,0,5,2247,0,11241,129,51914
29PKL_09,0,0,0,1435,0,6050,630,57421
29PKL_10,0,23,434,971,0,12235,1077,50796
29PKL_11,0,50,12,0,0,59953,53,5468
29PKL_12,0,0,0,1872,0,7309,295,56060
29PKL_13,0,0,387,190,0,51826,55,13078
29PKL_14,0,0,11,96,0,1896,2162,61371
29PKL_15,0,0,51,1497,0,4956,1055,57977
29PKL_16,0,23,344,409,0,12425,374,51961
29PKL_17,0,102,0,15,0,7516,1269,56634
29PKL_18,0,0,0,752,0,3070,5198,56516
29PKL_19,0,0,0,3585,0,32110,425,29416
29PKL_20,0,0,4,2545,0,24819,49,38119
29PKL_21,0,0,88,907,0,23155,1217,40169
29PKL_22,0,0,413,719,0,51443,607,12354
29PKL_23,0,5,3,5317,59,11656,3007,45489
29PKL_24,0,0,156,7396,0,7595,1323,49066
29PKL_25,0,0,205,6573,0,9197,342,49219
29PKL_26,0,0,2,7510,0,18698,22,39304
29PKL_27,0,625,456,1515,123,42406,374,20037
29PKL_28,0,0,25,3013,0,25865,23,36610
29PKL_29,0,0,282,3304,0,19962,1406,40582
29PNM_00,0,6563,343,5940,0,5394,20094,27202
29PNM_01,0,0,40227,30,0,834,14975,9470
29PNM_02,0,0,424,523,0,62315,244,2030
29PNM_03,0,0,507,87,0,544,61030,3368
29PNM_04,0,0,7,3577,0,1616,173,60163
29PNM_05,0,0,65,2650,0,13384,2325,47112
29PNM_06,0,0,0,1458,0,10964,2513,50601
29PNM_07,0,0,0,2724,0,26851,28,35933
29PNM_08,0,0,323,12898,40,6541,1491,44243
29PNM_09,0,0,322,13142,0,9238,1058,41776
29PNM_10,0,0,40,2699,0,49426,1361,12010
29PNM_11,0,218,3452,9859,0,4488,12893,34626
29PNM_12,0,0,898,15104,0,22854,1750,24930
29PNM_13,0,0,278,6981,0,37203,227,20847
29PNM_14,0,0,203,20653,0,6484,912,37284
29PNM_15,0,0,102,19204,0,25217,174,20839
29PNM_16,0,0,621,18688,0,10811,1195,34221
29PNM_17,0,0,269,7286,0,44620,1056,12305
29PNM_18,0,0,499,19392,0,4049,313,41283
29PNM_19,0,0,338,7081,0,29321,1418,27378
29PNM_20,0,0,6,4942,0,31661,79,28848
29PNM_21,0,0,53,5267,0,24608,31,35577
29PNM_22,0,0,0,0,0,27933,17,37586
29PNM_23,0,0,3248,1256,0,2401,6638,51993
29PNM_24,0,0,0,145,0,60430,0,4961
29PNM_25,0,0,119,3338,0,18515,1080,42484
29PNM_26,0,85,16,3001,0,12757,2764,46913
29PNM_27,0,55,3251,2894,25,5048,14503,39760
29PNM_28,0,0,0,986,0,16010,1392,47148
29PNM_29,0,1290,212,675,0,31121,1623,30615
30PTV_00,587,27708,1507,15975,0,2965,493,16301
30PTV_01,0,0,60870,282,0,1438,1087,1859
30PTV_02,28,0,208,54451,0,162,87,10600
30PTV_03,0,0,864,2470,0,57686,421,4095
30PTV_04,0,19,10,42,0,11,65294,160
30PTV_05,0,0,0,2108,0,1859,0,61569
30PTV_06,14,0,2938,46241,0,1142,3531,11670
30PTV_07,60,0,1407,32347,0,2131,2823,26768
30PTV_08,0,0,3504,17298,0,13307,21222,10205
30PTV_09,0,0,67,12495,0,5369,178,47427
30PTV_10,5,58,563,14348,0,28045,9652,12865
30PTV_11,0,0,1586,10670,0,25253,19363,8664
30PTV_12,1,0,635,12771,0,4261,45233,2635
30PTV_13,0,0,310,28497,0,13137,14371,9221
30PTV_14,2,0,1847,23262,0,8578,24976,6871
30PTV_15,2,0,3188,26804,223,1431,25645,8243
30PTV_16,0,0,1012,25076,0,5700,25525,8223
30PTV_17,3,77,555,31127,0,3430,9509,20835
30PTV_18,17,0,1465,23298,0,3056,24155,13545
30PTV_19,0,0,2218,2796,128,1050,56774,2570
30PTV_20,1,0,1238,11767,0,8293,21152,23085
30PTV_21,81,0,7194,8921,0,175,43989,5176
30PTV_22,69,0,8565,12728,0,1194,15676,27304
30PTV_23,159,0,333,53672,0,1352,286,9734
30PTV_24,0,0,1070,15597,0,9621,34126,5122
30PTV_25,0,0,36,17685,0,15596,795,31424
30PTV_26,369,6060,1508,33266,0,3760,1410,19163
30PTV_27,2,0,480,21158,0,24745,11269,7882
30PTV_28,372,4433,2245,30368,429,4539,6942,16208
30PTV_29,0,0,197,23858,0,21368,8846,11267
30PWT_00,1,9734,4405,9002,0,7733,20520,14141
30PWT_01,0,491,46083,735,0,5998,5497,6732
30PWT_02,0,0,731,28263,0,36390,7,145
30PWT_03,0,0,203,0,14,5,65197,117
30PWT_04,0,0,0,9081,0,9336,4606,42513
30PWT_05,0,0,597,16,0,506,44133,20284
30PWT_06,0,0,747,525,0,20196,2431,41637
30PWT_07,0,1320,445,361,0,14139,6234,43037
30PWT_08,0,0,719,3138,0,4850,23303,33526
30PWT_09,0,0,158,9810,0,23572,18769,13227
30PWT_10,0,0,414,19286,67,8720,20973,16076
30PWT_11,0,0,759,13131,0,13601,16292,21753
30PWT_12,0,0,9,7510,0,22238,1859,33920
30PWT_13,0,0,1321,447,30,12873,4579,46286
30PWT_14,2,0,192,3948,0,5917,48828,6649
30PWT_15,0,44,434,2663,0,9787,34949,17659
30PWT_16,0,0,1409,1466,27,6650,45753,10231
30PWT_17,0,0,597,2837,0,15100,27862,19140
30PWT_18,0,0,198,1045,0,3642,54315,6336
30PWT_19,0,0,95,2153,0,8127,48030,7131
30PWT_20,0,0,314,1731,0,19499,26979,17013
30PWT_21,0,1127,716,436,0,45395,5170,12692
30PWT_22,0,0,569,626,0,24523,8131,31687
30PWT_23,0,0,41,1004,0,28531,21856,14104
30PWT_24,0,0,88,0,0,6972,36422,22054
30PWT_25,0,0,624,2546,0,37768,13307,11291
30PWT_26,0,0,325,10,0,17982,14191,33028
30PWT_27,0,12,1095,672,9,6173,25929,31646
30PWT_28,0,0,9,0,0,52435,190,12902
30PWT_29,0,0,1373,0,0,8091,40103,15969
31NFH_00,0,65536,0,0,0,0,0,0
31NFH_01,2,0,65356,0,0,0,0,178
31NFH_02,0,847,3144,0,809,14845,1,45890
31NFH_03,0,0,0,0,0,65532,0,4
31NFH_04,0,0,970,0,99,9173,52998,2296
31NFH_05,0,0,338,68,19,16127,7125,41859
31NFH_06,0,0,370,80,0,51281,4037,9768
31NFH_07,0,0,14105,0,0,31293,6530,13608
31NFH_08,0,0,0,22,0,53030,1002,11482
31NFH_09,0,0,0,45,0,61737,378,3376
31NFH_10,0,0,0,139,0,41114,1147,23136
31NFH_11,0,0,552,0,0,45989,3782,15213
31NFH_12,0,169,69,245,91,61127,116,3719
31NFH_13,0,0,143,0,0,64295,375,723
31NFH_14,0,0,43,0,0,64650,101,742
31NFH_15,0,0,437,115,0,37344,1065,26575
31NFH_16,0,0,304,0,49,39874,3251,22058
31NFH_17,0,1653,887,158,3,42095,11984,8756
31NFH_18,0,0,839,0,0,30026,1498,33173
31NFH_19,0,480,135,0,0,61982,404,2535
31NFH_20,0,0,0,0,0,55076,1036,9424
31NFH_21,0,0,0,0,0,63404,1,2131
31NFH_22,0,0,298,0,12,58607,299,6320
31NFH_23,0,0,825,0,0,60326,225,4160
31NFH_24,0,0,37,0,0,63765,289,1445
31NFH_25,0,708,1247,0,3,49748,1512,12318
