level_0,Region,Subregion,Country
49QCE_13,Asia,Eastern Asia,China
43QBD_05,Asia,Southern Asia,India
44TLN_29,Asia,Eastern Asia,China
44TLN_29,Asia,Central Asia,Kazakhstan
44TLN_29,Asia,Central Asia,Kyrgyzstan
44TLN_29,Asia,Central Asia,Russia
47ULB_01,Asia,Central Asia,Russia
51PWM_02,Asia,South-Eastern Asia,Philippines
45RWM_17,Asia,Eastern Asia,China
45RWM_17,Asia,Southern Asia,India
45RWM_17,Asia,Southern Asia,Nepal
39TXM_22,Asia,Central Asia,Kazakhstan
39TXM_22,Asia,Central Asia,Russia
39TXM_22,Europe,Eastern Europe,Russia
57UWA_02,Asia,Central Asia,Russia
50UMF_18,Asia,Central Asia,Russia
41TNE_20,Asia,Central Asia,Turkmenistan
41TNE_20,Asia,Central Asia,Uzbekistan
47TQM_05,Asia,Eastern Asia,China
47TQM_05,Asia,Eastern Asia,Mongolia
47TQM_05,Asia,Central Asia,Russia
45TYH_15,Asia,Eastern Asia,China
45TYH_15,Asia,Eastern Asia,Mongolia
45TYH_15,Asia,Central Asia,Russia
46UGV_06,Asia,Eastern Asia,China
46UGV_06,Asia,Eastern Asia,Mongolia
46UGV_06,Asia,Central Asia,Russia
44TLN_16,Asia,Eastern Asia,China
44TLN_16,Asia,Central Asia,Kazakhstan
44TLN_16,Asia,Central Asia,Kyrgyzstan
44TLN_16,Asia,Central Asia,Russia
48QTK_13,Asia,Eastern Asia,China
48QTK_13,Asia,South-Eastern Asia,Laos
48QTK_13,Asia,South-Eastern Asia,Vietnam
53UNS_00,Asia,Central Asia,Russia
45TWG_11,Asia,Eastern Asia,China
45TWG_11,Asia,Eastern Asia,Mongolia
50UMF_27,Asia,Central Asia,Russia
45RWM_28,Asia,Eastern Asia,China
45RWM_28,Asia,Southern Asia,India
45RWM_28,Asia,Southern Asia,Nepal
50TLP_03,Asia,Eastern Asia,China
50TLP_03,Asia,Eastern Asia,Mongolia
50TLP_03,Asia,Central Asia,Russia
45TWG_29,Asia,Eastern Asia,China
41TNE_27,Asia,Central Asia,Turkmenistan
41TNE_27,Asia,Central Asia,Uzbekistan
47TQM_02,Asia,Eastern Asia,China
47TQM_02,Asia,Eastern Asia,Mongolia
47TQM_02,Asia,Central Asia,Russia
51PWM_05,Asia,South-Eastern Asia,Philippines
45RWM_10,Asia,Eastern Asia,China
45RWM_10,Asia,Southern Asia,India
45RWM_10,Asia,Southern Asia,Nepal
39TXM_25,Asia,Central Asia,Kazakhstan
39TXM_25,Asia,Central Asia,Russia
39TXM_25,Europe,Eastern Europe,Russia
57UWA_05,Asia,Central Asia,Russia
47ULB_06,Asia,Central Asia,Russia
49QCE_14,Asia,Eastern Asia,China
43QBD_02,Asia,Southern Asia,India
50TLP_04,Asia,Eastern Asia,China
50TLP_04,Asia,Eastern Asia,Mongolia
50TLP_04,Asia,Central Asia,Russia
45TWG_16,Asia,Eastern Asia,China
45TWG_16,Asia,Eastern Asia,Mongolia
41TNE_18,Asia,Central Asia,Turkmenistan
41TNE_18,Asia,Central Asia,Uzbekistan
50UMF_20,Asia,Central Asia,Russia
53UNS_07,Asia,Central Asia,Russia
44TLN_11,Asia,Eastern Asia,China
44TLN_11,Asia,Central Asia,Kazakhstan
44TLN_11,Asia,Central Asia,Kyrgyzstan
44TLN_11,Asia,Central Asia,Russia
48QTK_14,Asia,Eastern Asia,China
48QTK_14,Asia,South-Eastern Asia,Laos
48QTK_14,Asia,South-Eastern Asia,Vietnam
45TYH_12,Asia,Eastern Asia,China
45TYH_12,Asia,Eastern Asia,Mongolia
45TYH_12,Asia,Central Asia,Russia
46UGV_01,Asia,Eastern Asia,China
46UGV_01,Asia,Eastern Asia,Mongolia
46UGV_01,Asia,Central Asia,Russia
45RWM_26,Asia,Eastern Asia,China
45RWM_26,Asia,Southern Asia,India
45RWM_26,Asia,Southern Asia,Nepal
39TXM_13,Asia,Central Asia,Kazakhstan
39TXM_13,Asia,Central Asia,Russia
39TXM_13,Europe,Eastern Europe,Russia
41TNE_11,Asia,Central Asia,Turkmenistan
41TNE_11,Asia,Central Asia,Uzbekistan
50UMF_29,Asia,Central Asia,Russia
49TFJ_04,Asia,Eastern Asia,China
49TFJ_04,Asia,Eastern Asia,Mongolia
49TFJ_04,Asia,Central Asia,Russia
49QCE_22,Asia,Eastern Asia,China
46UGV_08,Asia,Eastern Asia,China
46UGV_08,Asia,Eastern Asia,Mongolia
46UGV_08,Asia,Central Asia,Russia
44TLN_18,Asia,Eastern Asia,China
44TLN_18,Asia,Central Asia,Kazakhstan
44TLN_18,Asia,Central Asia,Kyrgyzstan
44TLN_18,Asia,Central Asia,Russia
50UMF_16,Asia,Central Asia,Russia
45TWG_20,Asia,Eastern Asia,China
45RWM_19,Asia,Eastern Asia,China
45RWM_19,Asia,Southern Asia,India
45RWM_19,Asia,Southern Asia,Nepal
48QTK_22,Asia,Eastern Asia,China
48QTK_22,Asia,South-Eastern Asia,Laos
48QTK_22,Asia,South-Eastern Asia,Vietnam
44TLN_27,Asia,Eastern Asia,China
44TLN_27,Asia,Central Asia,Kazakhstan
44TLN_27,Asia,Central Asia,Kyrgyzstan
44TLN_27,Asia,Central Asia,Russia
45TYH_24,Asia,Eastern Asia,China
45TYH_24,Asia,Eastern Asia,Mongolia
45TYH_24,Asia,Central Asia,Russia
49TFJ_03,Asia,Eastern Asia,China
49TFJ_03,Asia,Eastern Asia,Mongolia
49TFJ_03,Asia,Central Asia,Russia
53UNS_09,Asia,Central Asia,Russia
49QCE_25,Asia,Eastern Asia,China
49QCE_25,Asia,South-Eastern Asia,Vietnam
41TNE_16,Asia,Central Asia,Turkmenistan
41TNE_16,Asia,Central Asia,Uzbekistan
45TWG_18,Asia,Eastern Asia,China
45TWG_18,Asia,Central Asia,Kazakhstan
45RWM_21,Asia,Eastern Asia,China
45RWM_21,Asia,Southern Asia,India
45RWM_21,Asia,Southern Asia,Nepal
39TXM_14,Asia,Central Asia,Kazakhstan
39TXM_14,Asia,Central Asia,Russia
39TXM_14,Europe,Eastern Europe,Russia
45TYH_23,Asia,Eastern Asia,China
45TYH_23,Asia,Eastern Asia,Mongolia
45TYH_23,Asia,Central Asia,Russia
48QTK_25,Asia,Eastern Asia,China
48QTK_25,Asia,South-Eastern Asia,Laos
48QTK_25,Asia,South-Eastern Asia,Vietnam
44TLN_20,Asia,Eastern Asia,China
44TLN_20,Asia,Central Asia,Kazakhstan
44TLN_20,Asia,Central Asia,Kyrgyzstan
44TLN_20,Asia,Central Asia,Russia
47ULB_08,Asia,Central Asia,Russia
50UMF_11,Asia,Central Asia,Russia
41TNE_29,Asia,Central Asia,Turkmenistan
41TNE_29,Asia,Central Asia,Uzbekistan
45TWG_27,Asia,Eastern Asia,China
45TWG_27,Asia,Central Asia,Kazakhstan
44QMG_11,Asia,Southern Asia,India
50MRA_19,Asia,South-Eastern Asia,Indonesia
50MLC_11,Asia,South-Eastern Asia,Indonesia
46RFV_25,Asia,Eastern Asia,China
46RFV_25,Asia,Southern Asia,India
51QUG_10,Asia,Eastern Asia,China
51QUG_10,Asia,Eastern Asia,Taiwan
46TDT_20,Asia,Eastern Asia,China
46TDT_20,Asia,Eastern Asia,Mongolia
46TDT_20,Asia,Central Asia,Russia
57VVE_14,Asia,Central Asia,Russia
42SXG_08,Asia,Southern Asia,Afghanistan
42SXG_08,Asia,Central Asia,Tajikistan
42SXG_08,Asia,Central Asia,Uzbekistan
47RLN_26,Asia,Eastern Asia,China
47RLN_26,Asia,Southern Asia,India
48SVA_11,Asia,Eastern Asia,China
47QKC_05,Asia,Eastern Asia,China
47QKC_05,Asia,Southern Asia,India
47QKC_05,Asia,South-Eastern Asia,Myanmar
42UVA_12,Asia,Central Asia,Kazakhstan
42UVA_12,Asia,Central Asia,Russia
50SPF_23,Asia,Eastern Asia,China
38TLL_00,Asia,Western Asia,Turkey
50MRA_26,Asia,South-Eastern Asia,Indonesia
39UUS_14,Asia,Central Asia,Kazakhstan
39UUS_14,Europe,Eastern Europe,Russia
43TFL_02,Asia,Eastern Asia,China
43TFL_02,Asia,Central Asia,Kazakhstan
43TFL_02,Asia,Central Asia,Russia
47UMA_10,Asia,Central Asia,Russia
53TLM_11,Asia,Eastern Asia,China
53TLM_11,Asia,Central Asia,Russia
44RKV_05,Asia,Eastern Asia,China
44RKV_05,Asia,Southern Asia,India
47RLN_19,Asia,Eastern Asia,China
50MRV_02,Asia,South-Eastern Asia,Indonesia
47QKC_02,Asia,Southern Asia,India
47QKC_02,Asia,South-Eastern Asia,Myanmar
47UMA_28,Asia,Central Asia,Russia
42UVA_15,Asia,Central Asia,Kazakhstan
42UVA_15,Asia,Central Asia,Russia
42UVA_15,Europe,Eastern Europe,Russia
47RLN_21,Asia,Eastern Asia,China
53TLM_29,Asia,Eastern Asia,China
53TLM_29,Asia,Central Asia,Russia
48SVA_16,Asia,Eastern Asia,China
57VVE_13,Asia,Central Asia,Russia
51QUG_17,Asia,Eastern Asia,China
51QUG_17,Asia,Eastern Asia,Taiwan
46TDT_27,Asia,Eastern Asia,China
46TDT_27,Asia,Eastern Asia,Mongolia
46TDT_27,Asia,Central Asia,Russia
50MLC_16,Asia,South-Eastern Asia,Indonesia
46RFV_22,Asia,Eastern Asia,China
46RFV_22,Asia,Southern Asia,India
44QMG_16,Asia,Southern Asia,India
54MYA_08,Oceania,Melanesia,Papua New Guinea
50MRV_05,Asia,South-Eastern Asia,Indonesia
53TLM_16,Asia,Eastern Asia,China
53TLM_16,Asia,Central Asia,Russia
48SVA_29,Asia,Eastern Asia,China
44RKV_02,Asia,Eastern Asia,China
44RKV_02,Asia,Southern Asia,India
47UMA_17,Asia,Central Asia,Russia
43TFL_05,Asia,Eastern Asia,China
43TFL_05,Asia,Central Asia,Kazakhstan
43TFL_05,Asia,Central Asia,Russia
50MRA_21,Asia,South-Eastern Asia,Indonesia
39UUS_13,Asia,Central Asia,Kazakhstan
39UUS_13,Europe,Eastern Europe,Russia
44QMG_29,Asia,Southern Asia,India
50SPF_24,Asia,Eastern Asia,China
50MLC_29,Asia,South-Eastern Asia,Indonesia
38TLL_07,Asia,Western Asia,Armenia
38TLL_07,Asia,Western Asia,Turkey
46TDT_18,Asia,Eastern Asia,China
46TDT_18,Asia,Eastern Asia,Mongolia
46TDT_18,Asia,Central Asia,Russia
51QUG_28,Asia,Eastern Asia,China
51QUG_28,Asia,Eastern Asia,Taiwan
57VVE_25,Asia,Central Asia,Russia
54MYA_01,Oceania,Melanesia,Papua New Guinea
41TMN_03,Asia,Central Asia,Kazakhstan
41TMN_03,Asia,Central Asia,Russia
41TMN_03,Europe,Eastern Europe,Russia
42UVA_23,Asia,Central Asia,Kazakhstan
42UVA_23,Asia,Central Asia,Russia
42UVA_23,Europe,Eastern Europe,Russia
48SVA_20,Asia,Eastern Asia,China
47RLN_17,Asia,Eastern Asia,China
47RLN_17,Asia,Southern Asia,India
48MTE_02,Asia,South-Eastern Asia,Indonesia
50MRA_28,Asia,South-Eastern Asia,Indonesia
44QMG_20,Asia,Southern Asia,India
46TDT_11,Asia,Eastern Asia,China
46TDT_11,Asia,Eastern Asia,Mongolia
46TDT_11,Asia,Central Asia,Russia
51QUG_21,Asia,Eastern Asia,China
51QUG_21,Asia,Eastern Asia,Taiwan
50TNT_03,Asia,Eastern Asia,China
50TNT_03,Asia,Eastern Asia,Mongolia
50TNT_03,Asia,Central Asia,Russia
46REU_04,Asia,Eastern Asia,China
46REU_04,Asia,Southern Asia,India
46RFV_14,Asia,Eastern Asia,China
46RFV_14,Asia,Southern Asia,India
50MLC_20,Asia,South-Eastern Asia,Indonesia
47RLN_28,Asia,Eastern Asia,China
53TLM_20,Asia,Eastern Asia,China
53TLM_20,Asia,Central Asia,Russia
47UMA_21,Asia,Central Asia,Russia
42SXG_06,Asia,Southern Asia,Afghanistan
42SXG_06,Asia,Central Asia,Tajikistan
42SXG_06,Asia,Central Asia,Uzbekistan
50SPF_12,Asia,Eastern Asia,China
36SXH_04,Asia,Western Asia,Turkey
39UUS_25,Asia,Central Asia,Kazakhstan
39UUS_25,Europe,Eastern Europe,Russia
45UXV_02,Asia,Eastern Asia,China
45UXV_02,Asia,Central Asia,Russia
50MRA_17,Asia,South-Eastern Asia,Indonesia
50TNT_04,Asia,Eastern Asia,China
50TNT_04,Asia,Eastern Asia,Mongolia
50TNT_04,Asia,Central Asia,Russia
46REU_03,Asia,Eastern Asia,China
46REU_03,Asia,Southern Asia,India
46RFV_13,Asia,Eastern Asia,China
46RFV_13,Asia,Southern Asia,India
38TLL_09,Asia,Western Asia,Georgia
38TLL_09,Europe,Eastern Europe,Russia
38TLL_09,Asia,Western Asia,Turkey
50MLC_27,Asia,South-Eastern Asia,Indonesia
46TDT_16,Asia,Eastern Asia,China
46TDT_16,Asia,Eastern Asia,Mongolia
46TDT_16,Asia,Central Asia,Russia
51QUG_26,Asia,Eastern Asia,China
51QUG_26,Asia,Eastern Asia,Taiwan
48MTE_05,Asia,South-Eastern Asia,Indonesia
44QMG_27,Asia,Southern Asia,India
53TLM_18,Asia,Eastern Asia,China
53TLM_18,Asia,Central Asia,Russia
48SVA_27,Asia,Eastern Asia,China
47RLN_10,Asia,Eastern Asia,China
47RLN_10,Asia,Southern Asia,India
41TMN_04,Asia,Central Asia,Kazakhstan
41TMN_04,Asia,Central Asia,Russia
41TMN_04,Europe,Eastern Europe,Russia
42UVA_24,Asia,Central Asia,Kazakhstan
42UVA_24,Asia,Central Asia,Russia
42UVA_24,Europe,Eastern Europe,Russia
47UMA_19,Asia,Central Asia,Russia
54MYA_06,Oceania,Melanesia,Papua New Guinea
57VVE_22,Asia,Central Asia,Russia
39UUS_22,Asia,Central Asia,Kazakhstan
39UUS_22,Europe,Eastern Europe,Russia
44QMG_18,Asia,Southern Asia,India
45UXV_05,Asia,Central Asia,Russia
50MRA_10,Asia,South-Eastern Asia,Indonesia
51QUG_19,Asia,Eastern Asia,China
51QUG_19,Asia,Eastern Asia,Taiwan
46TDT_29,Asia,Eastern Asia,China
46TDT_29,Asia,Eastern Asia,Mongolia
46TDT_29,Asia,Central Asia,Russia
36SXH_03,Asia,Western Asia,Turkey
50MLC_18,Asia,South-Eastern Asia,Indonesia
50SPF_15,Asia,Eastern Asia,China
42SXG_01,Asia,Southern Asia,Afghanistan
42SXG_01,Asia,Central Asia,Tajikistan
47UMA_26,Asia,Central Asia,Russia
53TLM_27,Asia,Eastern Asia,China
53TLM_27,Asia,Central Asia,Russia
48SVA_18,Asia,Eastern Asia,China
41TNE_17,Asia,Central Asia,Turkmenistan
41TNE_17,Asia,Central Asia,Uzbekistan
45TWG_19,Asia,Eastern Asia,China
45TWG_19,Asia,Central Asia,Kazakhstan
39TXM_15,Asia,Central Asia,Kazakhstan
39TXM_15,Asia,Central Asia,Russia
39TXM_15,Europe,Eastern Europe,Russia
45RWM_20,Asia,Eastern Asia,China
45RWM_20,Asia,Southern Asia,India
45RWM_20,Asia,Southern Asia,Nepal
49TFJ_02,Asia,Eastern Asia,China
49TFJ_02,Asia,Eastern Asia,Mongolia
49TFJ_02,Asia,Central Asia,Russia
53UNS_08,Asia,Central Asia,Russia
49QCE_24,Asia,Eastern Asia,China
47ULB_09,Asia,Central Asia,Russia
50UMF_10,Asia,Central Asia,Russia
41TNE_28,Asia,Central Asia,Turkmenistan
41TNE_28,Asia,Central Asia,Uzbekistan
45TWG_26,Asia,Eastern Asia,China
45TWG_26,Asia,Eastern Asia,Mongolia
48QTK_24,Asia,Eastern Asia,China
48QTK_24,Asia,South-Eastern Asia,Laos
48QTK_24,Asia,South-Eastern Asia,Vietnam
44TLN_21,Asia,Eastern Asia,China
44TLN_21,Asia,Central Asia,Kazakhstan
44TLN_21,Asia,Central Asia,Kyrgyzstan
44TLN_21,Asia,Central Asia,Russia
45TYH_22,Asia,Eastern Asia,China
45TYH_22,Asia,Eastern Asia,Mongolia
45TYH_22,Asia,Central Asia,Russia
49TFJ_05,Asia,Eastern Asia,China
49TFJ_05,Asia,Eastern Asia,Mongolia
49TFJ_05,Asia,Central Asia,Russia
49QCE_23,Asia,Eastern Asia,China
44TLN_19,Asia,Eastern Asia,China
44TLN_19,Asia,Central Asia,Kazakhstan
44TLN_19,Asia,Central Asia,Kyrgyzstan
44TLN_19,Asia,Central Asia,Russia
46UGV_09,Asia,Eastern Asia,China
46UGV_09,Asia,Eastern Asia,Mongolia
46UGV_09,Asia,Central Asia,Russia
39TXM_12,Asia,Central Asia,Kazakhstan
39TXM_12,Asia,Central Asia,Russia
39TXM_12,Europe,Eastern Europe,Russia
45RWM_27,Asia,Eastern Asia,China
45RWM_27,Asia,Southern Asia,India
45RWM_27,Asia,Southern Asia,Nepal
41TNE_10,Asia,Central Asia,Turkmenistan
41TNE_10,Asia,Central Asia,Uzbekistan
50UMF_28,Asia,Central Asia,Russia
45TYH_25,Asia,Eastern Asia,China
45TYH_25,Asia,Eastern Asia,Mongolia
45TYH_25,Asia,Central Asia,Russia
48QTK_23,Asia,Eastern Asia,China
48QTK_23,Asia,South-Eastern Asia,Laos
48QTK_23,Asia,South-Eastern Asia,Vietnam
44TLN_26,Asia,Eastern Asia,China
44TLN_26,Asia,Central Asia,Kazakhstan
44TLN_26,Asia,Central Asia,Kyrgyzstan
44TLN_26,Asia,Central Asia,Russia
50UMF_17,Asia,Central Asia,Russia
45TWG_21,Asia,Eastern Asia,China
45TWG_21,Asia,Eastern Asia,Mongolia
45RWM_18,Asia,Eastern Asia,China
45RWM_18,Asia,Southern Asia,India
45RWM_18,Asia,Southern Asia,Nepal
49QCE_15,Asia,Eastern Asia,China
49QCE_15,Asia,South-Eastern Asia,Vietnam
