identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
49QCE_13,0.0,0.0,98.83214467651554,0.0,0.0,97.84783248443689,97.68778253977572,98.0
43QBD_05,0.0,0.0,68.16361256544502,0.0,0.0,68.1571072319202,100.0,68.0890756302521
44TLN_29,61.42857142857143,0.0,65.6993006993007,67.0,0.0,65.46115906288533,65.17963152507677,99.7111545852738
47ULB_01,0.0,74.53125,96.88399024786672,0.0,73.3939144736842,97.48302852412132,94.6547794720446,85.17194705635742
51PWM_02,0.0,0.0,0.0,0.0,0.0,98.98088044556344,66.0,0.0
45RWM_17,0.0,0.0,0.0,74.86486243804325,0.0,0.0,0.0,63.974522939504666
39TXM_22,37.0,0.0,39.748010610079575,0.0,0.0,0.0,0.0,88.24845759538353
57UWA_02,49.65979381443299,40.46478873239437,0.0,49.59347553324969,42.87139136097243,50.01697667552406,0.0,80.33907414193233
50UMF_18,0.0,0.0,65.72985781990522,0.0,0.0,86.48075178694532,0.0,97.39558839106027
41TNE_20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
47TQM_05,0.0,0.0,0.0,38.0,92.872,0.0,99.30870446935279,74.35621834552617
45TYH_15,0.0,0.0,0.0,99.49200439453125,0.0,0.0,0.0,0.0
46UGV_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.390625
44TLN_16,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
48QTK_13,0.0,0.0,64.0,0.0,64.0,90.56590827013362,64.28445925477128,97.25535924617196
53UNS_00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
45TWG_11,0.0,0.0,0.0,99.95916748046875,0.0,0.0,0.0,0.0
50UMF_27,0.0,0.0,100.0,0.0,0.0,100.0,0.0,97.35126816055158
45RWM_28,0.0,0.0,0.0,75.78243855325384,0.0,0.0,0.0,58.159737417943106
50TLP_03,0.0,0.0,64.94489190334887,84.43705359200037,63.01704545454545,0.0,67.15735156145288,68.82317725037417
45TWG_29,0.0,0.0,0.0,99.99958801269531,0.0,0.0,0.0,0.0
41TNE_27,0.0,0.0,38.0,85.71117539351603,0.0,0.0,0.0,0.0
47TQM_02,0.0,0.0,0.0,89.140625,0.0,0.0,0.0,0.0
51PWM_05,0.0,0.0,37.0,0.0,0.0,75.75629680054459,68.0,94.54147544566202
45RWM_10,0.0,0.0,60.486486486486484,96.63768516811113,0.0,0.0,0.0,75.0
39TXM_25,42.0,0.0,0.0,62.0,0.0,0.0,0.0,71.5562078121501
57UWA_05,80.5067264573991,0.0,0.0,35.0,72.62068965517241,96.15437894858866,0.0,90.13682906150133
47ULB_06,0.0,0.0,0.0,0.0,0.0,97.81215033030945,69.37664907651715,83.17986846794311
49QCE_14,0.0,0.0,84.50134770889488,0.0,0.0,99.63033676689903,90.09408812921437,90.6844207723036
43QBD_02,0.0,100.0,68.24507658643326,0.0,0.0,87.34265632131446,96.5916149068323,92.55068314899154
50TLP_04,89.47368421052632,67.24043715846994,90.22908204711617,73.75150602409639,70.13430127041742,93.34270697876029,95.81428571428572,80.65555440521793
45TWG_16,52.0,0.0,0.0,81.555674451785,0.0,0.0,0.0,62.0
41TNE_18,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
50UMF_20,0.0,0.0,75.85767790262172,0.0,69.0,92.5125662012518,0.0,96.79056185523062
53UNS_07,66.0,0.0,0.0,0.0,0.0,87.69925224669,0.0,100.0
44TLN_11,0.0,0.0,65.01630837657524,66.84617470134711,0.0,0.0,64.88571428571429,64.19453410802669
48QTK_14,0.0,0.0,64.0,0.0,0.0,95.39629133506685,64.01129943502825,96.25581587537705
