level_0,Region,Subregion,Country
59GNM_07,Oceania,Australia and New Zealand,New Zealand
52KCU_12,Oceania,Australia and New Zealand,Australia
59GNM_00,Oceania,Australia and New Zealand,New Zealand
52KCU_15,Oceania,Australia and New Zealand,Australia
52KCU_23,Oceania,Australia and New Zealand,Australia
59GNM_09,Oceania,Australia and New Zealand,New Zealand
52KCU_24,Oceania,Australia and New Zealand,Australia
55JFN_19,Oceania,Australia and New Zealand,Australia
55JFN_26,Oceania,Australia and New Zealand,Australia
55JFN_21,Oceania,Australia and New Zealand,Australia
55JFN_28,Oceania,Australia and New Zealand,Australia
55JFN_17,Oceania,Australia and New Zealand,Australia
55JFN_10,Oceania,Australia and New Zealand,Australia
52KCU_25,Oceania,Australia and New Zealand,Australia
52KCU_22,Oceania,Australia and New Zealand,Australia
59GNM_08,Oceania,Australia and New Zealand,New Zealand
59GNM_01,Oceania,Australia and New Zealand,New Zealand
52KCU_14,Oceania,Australia and New Zealand,Australia
59GNM_06,Oceania,Australia and New Zealand,New Zealand
52KCU_13,Oceania,Australia and New Zealand,Australia
55JFN_11,Oceania,Australia and New Zealand,Australia
55JFN_29,Oceania,Australia and New Zealand,Australia
55JFN_16,Oceania,Australia and New Zealand,Australia
55JFN_20,Oceania,Australia and New Zealand,Australia
55JFN_18,Oceania,Australia and New Zealand,Australia
55JFN_27,Oceania,Australia and New Zealand,Australia
51KWR_29,Oceania,Australia and New Zealand,Australia
51JXK_09,Oceania,Australia and New Zealand,Australia
51KWR_16,Oceania,Australia and New Zealand,Australia
51JXH_11,Oceania,Australia and New Zealand,Australia
51JXH_29,Oceania,Australia and New Zealand,Australia
51JXH_16,Oceania,Australia and New Zealand,Australia
51KWR_11,Oceania,Australia and New Zealand,Australia
51KWR_18,Oceania,Australia and New Zealand,Australia
51JXK_07,Oceania,Australia and New Zealand,Australia
51KWR_27,Oceania,Australia and New Zealand,Australia
51JXH_20,Oceania,Australia and New Zealand,Australia
51JXH_18,Oceania,Australia and New Zealand,Australia
51JXH_27,Oceania,Australia and New Zealand,Australia
51KWR_20,Oceania,Australia and New Zealand,Australia
51JXK_00,Oceania,Australia and New Zealand,Australia
55JBF_25,Oceania,Australia and New Zealand,Australia
59GLK_19,Oceania,Australia and New Zealand,New Zealand
54KUF_06,Oceania,Australia and New Zealand,Australia
54HYE_21,Oceania,Australia and New Zealand,Australia
55HEU_29,Oceania,Australia and New Zealand,Australia
52KDU_24,Oceania,Australia and New Zealand,Australia
54LWJ_20,Oceania,Australia and New Zealand,Australia
53JMG_03,Oceania,Australia and New Zealand,Australia
59GLK_26,Oceania,Australia and New Zealand,New Zealand
56JMS_12,Oceania,Australia and New Zealand,Australia
52JGL_14,Oceania,Australia and New Zealand,Australia
55HEU_16,Oceania,Australia and New Zealand,Australia
54KYA_01,Oceania,Australia and New Zealand,Australia
52KDU_23,Oceania,Australia and New Zealand,Australia
54KUF_01,Oceania,Australia and New Zealand,Australia
54HYE_26,Oceania,Australia and New Zealand,Australia
54LWJ_18,Oceania,Australia and New Zealand,Australia
59GLL_09,Oceania,Australia and New Zealand,New Zealand
55JBF_22,Oceania,Australia and New Zealand,Australia
54KYA_06,Oceania,Australia and New Zealand,Australia
55HEU_11,Oceania,Australia and New Zealand,Australia
52JGL_13,Oceania,Australia and New Zealand,Australia
59GLK_21,Oceania,Australia and New Zealand,New Zealand
56JMS_15,Oceania,Australia and New Zealand,Australia
54LWJ_27,Oceania,Australia and New Zealand,Australia
53JMG_04,Oceania,Australia and New Zealand,Australia
59GNP_09,Oceania,Australia and New Zealand,New Zealand
54HYE_19,Oceania,Australia and New Zealand,Australia
55HEU_18,Oceania,Australia and New Zealand,Australia
52KDU_15,Oceania,Australia and New Zealand,Australia
59GLK_28,Oceania,Australia and New Zealand,New Zealand
55JBF_14,Oceania,Australia and New Zealand,Australia
59GNP_00,Oceania,Australia and New Zealand,New Zealand
54HYE_10,Oceania,Australia and New Zealand,Australia
52JGL_25,Oceania,Australia and New Zealand,Australia
55HEU_27,Oceania,Australia and New Zealand,Australia
54LWJ_11,Oceania,Australia and New Zealand,Australia
54KUF_08,Oceania,Australia and New Zealand,Australia
59GLL_00,Oceania,Australia and New Zealand,New Zealand
56JMS_23,Oceania,Australia and New Zealand,Australia
52KHU_05,Oceania,Australia and New Zealand,Australia
59GLK_17,Oceania,Australia and New Zealand,New Zealand
54LWJ_29,Oceania,Australia and New Zealand,Australia
59GNP_07,Oceania,Australia and New Zealand,New Zealand
54HYE_17,Oceania,Australia and New Zealand,Australia
55JBF_13,Oceania,Australia and New Zealand,Australia
52KDU_12,Oceania,Australia and New Zealand,Australia
54KYA_08,Oceania,Australia and New Zealand,Australia
56JMS_24,Oceania,Australia and New Zealand,Australia
52KHU_02,Oceania,Australia and New Zealand,Australia
59GLK_10,Oceania,Australia and New Zealand,New Zealand
59GLL_07,Oceania,Australia and New Zealand,New Zealand
54HYE_28,Oceania,Australia and New Zealand,Australia
54LWJ_16,Oceania,Australia and New Zealand,Australia
55HEU_20,Oceania,Australia and New Zealand,Australia
52JGL_22,Oceania,Australia and New Zealand,Australia
51JXH_19,Oceania,Australia and New Zealand,Australia
51JXK_01,Oceania,Australia and New Zealand,Australia
51JXH_26,Oceania,Australia and New Zealand,Australia
51KWR_21,Oceania,Australia and New Zealand,Australia
51KWR_19,Oceania,Australia and New Zealand,Australia
51KWR_26,Oceania,Australia and New Zealand,Australia
51JXH_21,Oceania,Australia and New Zealand,Australia
51JXK_06,Oceania,Australia and New Zealand,Australia
51JXH_28,Oceania,Australia and New Zealand,Australia
51JXH_17,Oceania,Australia and New Zealand,Australia
51KWR_10,Oceania,Australia and New Zealand,Australia
51JXK_08,Oceania,Australia and New Zealand,Australia
51KWR_28,Oceania,Australia and New Zealand,Australia
51KWR_17,Oceania,Australia and New Zealand,Australia
51JXH_10,Oceania,Australia and New Zealand,Australia
52KDU_13,Oceania,Australia and New Zealand,Australia
54KYA_09,Oceania,Australia and New Zealand,Australia
54HYE_16,Oceania,Australia and New Zealand,Australia
59GNP_06,Oceania,Australia and New Zealand,New Zealand
54LWJ_28,Oceania,Australia and New Zealand,Australia
55JBF_12,Oceania,Australia and New Zealand,Australia
55HEU_21,Oceania,Australia and New Zealand,Australia
52JGL_23,Oceania,Australia and New Zealand,Australia
59GLL_06,Oceania,Australia and New Zealand,New Zealand
52KHU_03,Oceania,Australia and New Zealand,Australia
56JMS_25,Oceania,Australia and New Zealand,Australia
59GLK_11,Oceania,Australia and New Zealand,New Zealand
54LWJ_17,Oceania,Australia and New Zealand,Australia
54HYE_29,Oceania,Australia and New Zealand,Australia
55JBF_15,Oceania,Australia and New Zealand,Australia
59GLK_29,Oceania,Australia and New Zealand,New Zealand
54HYE_11,Oceania,Australia and New Zealand,Australia
59GNP_01,Oceania,Australia and New Zealand,New Zealand
55HEU_19,Oceania,Australia and New Zealand,Australia
52KDU_14,Oceania,Australia and New Zealand,Australia
54KUF_09,Oceania,Australia and New Zealand,Australia
54LWJ_10,Oceania,Australia and New Zealand,Australia
52KHU_04,Oceania,Australia and New Zealand,Australia
56JMS_22,Oceania,Australia and New Zealand,Australia
59GLK_16,Oceania,Australia and New Zealand,New Zealand
59GLL_01,Oceania,Australia and New Zealand,New Zealand
52JGL_24,Oceania,Australia and New Zealand,Australia
55HEU_26,Oceania,Australia and New Zealand,Australia
54LWJ_19,Oceania,Australia and New Zealand,Australia
54KUF_00,Oceania,Australia and New Zealand,Australia
54HYE_27,Oceania,Australia and New Zealand,Australia
59GLL_08,Oceania,Australia and New Zealand,New Zealand
55JBF_23,Oceania,Australia and New Zealand,Australia
52KDU_22,Oceania,Australia and New Zealand,Australia
59GLK_20,Oceania,Australia and New Zealand,New Zealand
56JMS_14,Oceania,Australia and New Zealand,Australia
54HYE_18,Oceania,Australia and New Zealand,Australia
59GNP_08,Oceania,Australia and New Zealand,New Zealand
54LWJ_26,Oceania,Australia and New Zealand,Australia
53JMG_05,Oceania,Australia and New Zealand,Australia
55HEU_10,Oceania,Australia and New Zealand,Australia
54KYA_07,Oceania,Australia and New Zealand,Australia
52JGL_12,Oceania,Australia and New Zealand,Australia
55HEU_28,Oceania,Australia and New Zealand,Australia
52KDU_25,Oceania,Australia and New Zealand,Australia
59GLK_18,Oceania,Australia and New Zealand,New Zealand
55JBF_24,Oceania,Australia and New Zealand,Australia
54KUF_07,Oceania,Australia and New Zealand,Australia
54HYE_20,Oceania,Australia and New Zealand,Australia
52JGL_15,Oceania,Australia and New Zealand,Australia
54KYA_00,Oceania,Australia and New Zealand,Australia
55HEU_17,Oceania,Australia and New Zealand,Australia
54LWJ_21,Oceania,Australia and New Zealand,Australia
53JMG_02,Oceania,Australia and New Zealand,Australia
59GLK_27,Oceania,Australia and New Zealand,New Zealand
56JMS_13,Oceania,Australia and New Zealand,Australia
54KYA_22,Oceania,Australia and New Zealand,Australia
59GLK_05,Oceania,Australia and New Zealand,New Zealand
52KHU_17,Oceania,Australia and New Zealand,Australia
59GLL_12,Oceania,Australia and New Zealand,New Zealand
54LWJ_03,Oceania,Australia and New Zealand,Australia
53JMG_20,Oceania,Australia and New Zealand,Australia
52JGL_08,Oceania,Australia and New Zealand,Australia
52KDU_07,Oceania,Australia and New Zealand,Australia
54KUF_25,Oceania,Australia and New Zealand,Australia
54HYE_02,Oceania,Australia and New Zealand,Australia
59GNP_12,Oceania,Australia and New Zealand,New Zealand
55JBF_06,Oceania,Australia and New Zealand,Australia
52KHU_28,Oceania,Australia and New Zealand,Australia
54LWJ_04,Oceania,Australia and New Zealand,Australia
53JMG_27,Oceania,Australia and New Zealand,Australia
