identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
59GNM_07,0.0,0.0,71.0,0.0,0.0,65.08958602846054,0.0,97.35829476482552
52KCU_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.956787109375
59GNM_00,0.0,99.515625,0.0,0.0,0.0,0.0,0.0,0.0
52KCU_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99140930175781
52KCU_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.74076843261719
59GNM_09,0.0,89.31720930232558,69.92660550458716,0.0,37.0,89.431640625,95.65037286428999,98.91304347826087
52KCU_24,34.0,0.0,0.0,71.19193580542264,0.0,0.0,0.0,85.53735644827738
55JFN_19,39.0,0.0,56.78402366863905,0.0,0.0,53.951388888888886,72.18421561051005,71.5428485667117
55JFN_26,38.0,52.294117647058826,72.72727272727273,0.0,0.0,89.87648388447049,69.33333333333333,70.35909502262443
55JFN_21,0.0,39.0,70.0,0.0,0.0,69.97650267993875,68.3896103896104,81.4282494365139
55JFN_28,70.0,0.0,48.0,0.0,0.0,86.36912336919204,45.06957708049113,78.95724183750949
55JFN_17,0.0,39.904761904761905,47.0208,0.0,0.0,72.25168281070432,69.4184387966805,80.1487315114115
55JFN_10,89.33333333333333,88.27237354085604,84.75,0.0,0.0,98.70474672877148,0.0,100.0
52KCU_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81973266601562
52KCU_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98927307128906
59GNM_08,37.0,90.0,63.64985163204748,0.0,0.0,77.36725935009197,94.35485293885975,76.0
59GNM_01,68.0,81.39421338155515,97.49759517876804,0.0,68.0,78.41229082515868,74.42546042807366,68.48813760379596
52KCU_14,38.0,0.0,0.0,0.0,0.0,0.0,0.0,99.53780422674906
59GNM_06,0.0,0.0,0.0,0.0,0.0,95.38461538461539,0.0,98.62445428178904
52KCU_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.79342651367188
55JFN_11,56.6551724137931,34.0,0.0,0.0,0.0,97.36277847269503,80.8543046357616,95.12112932604735
55JFN_29,0.0,0.0,38.002588278794605,0.0,0.0,68.00877192982456,68.88522344747534,70.17552541544477
55JFN_16,0.0,0.0,69.78947368421052,0.0,0.0,99.9742638640839,0.0,69.0
55JFN_20,0.0,90.23955431754875,42.51136363636363,0.0,0.0,68.35902636916836,69.05774877650897,76.20238004278728
55JFN_18,0.0,0.0,0.0,0.0,0.0,99.54445020905179,70.0,0.0
55JFN_27,36.0,56.90909090909091,38.21768707482993,0.0,0.0,79.30820698545209,65.92648108493933,75.93012367835824
51KWR_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.53945922851562
51JXK_09,0.0,0.0,56.0,0.0,0.0,0.0,0.0,83.08944840409049
51KWR_16,0.0,0.0,0.0,69.18181818181819,0.0,0.0,0.0,67.64516129032258
51JXH_11,0.0,0.0,0.0,0.0,0.0,60.51776649746193,0.0,92.1543522579848
51JXH_29,0.0,0.0,0.0,56.50109943806499,0.0,0.0,0.0,76.29744641374933
51JXH_16,0.0,0.0,0.0,65.0,0.0,0.0,0.0,72.54050332991804
51KWR_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99771118164062
51KWR_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
51JXK_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77552795410156
51KWR_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99749755859375
51JXH_20,0.0,0.0,0.0,0.0,0.0,57.0,0.0,71.65369590429103
51JXH_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.49957275390625
51JXH_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.14462280273438
51KWR_20,0.0,0.0,0.0,70.07996835346742,0.0,0.0,0.0,86.39359715973434
51JXK_00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.48114013671875
55JBF_25,0.0,0.0,0.0,0.0,0.0,68.44491978609625,0.0,94.15364014602031
59GLK_19,38.0,0.0,0.0,0.0,0.0,72.10425531914893,0.0,98.32260940406105
54KUF_06,72.0,0.0,0.0,0.0,0.0,72.0,0.0,87.00215172953412
54HYE_21,0.0,0.0,61.4051724137931,0.0,0.0,39.55339805825243,93.49705316803977,69.83754863813229
55HEU_29,72.9090909090909,72.6,73.0,0.0,0.0,99.0611763022324,85.00727272727272,98.70811538761808
52KDU_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.15625
54LWJ_20,0.0,86.8563881823518,0.0,36.0,0.0,87.89125189884729,0.0,95.86699977657263
53JMG_03,0.0,0.0,0.0,0.0,0.0,66.24319592551329,0.0,73.63142263142264
59GLK_26,77.33333333333333,0.0,79.02962962962962,0.0,0.0,89.05446009389671,99.89785689876817,87.64642375168691
56JMS_12,0.0,0.0,37.0,0.0,0.0,93.50079634582444,38.343283582089555,98.50152562426054
52JGL_14,0.0,99.03596889176929,0.0,65.27285318559557,0.0,0.0,0.0,94.5920692634459
55HEU_16,44.50684931506849,100.0,91.72721088435374,0.0,0.0,91.78401727861771,97.44431406384814,94.18962901258442
54KYA_01,0.0,0.0,39.02341463414634,64.91935356844708,0.0,0.0,0.0,61.0
52KDU_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.68002319335938
54KUF_01,0.0,0.0,0.0,99.97959899902344,0.0,0.0,0.0,0.0
54HYE_26,0.0,39.0,41.6729495669893,0.0,0.0,50.93339846930467,69.96096087288086,64.18085885342637
54LWJ_18,0.0,0.0,0.0,0.0,0.0,85.62638195281556,0.0,98.95827511575025
59GLL_09,39.0,0.0,57.31212814645309,0.0,0.0,42.369565217391305,95.59509491582936,70.45797173320109
55JBF_22,0.0,0.0,0.0,0.0,0.0,68.85118799499791,0.0,89.50683434436226
54KYA_06,0.0,0.0,41.96753548987666,46.1682020454368,0.0,65.99802761341223,0.0,43.53993338530225
55HEU_11,41.0,94.6,73.49868073878628,0.0,0.0,93.95496146435453,73.42803887631474,99.73298139182174
52JGL_13,0.0,0.0,72.0,0.0,0.0,71.86789501129846,0.0,77.49118636690828
