identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
59GNM_07,0,0,1,0,0,3092,0,62443
52KCU_12,0,0,0,0,0,0,0,65536
59GNM_00,0,65536,0,0,0,0,0,0
52KCU_15,0,0,0,0,0,0,0,65536
52KCU_23,0,0,0,0,0,0,0,65536
59GNM_09,0,1075,218,0,31,512,63562,138
52KCU_24,18,0,0,20064,0,0,0,45454
55JFN_19,7,0,1014,0,0,144,31056,33315
55JFN_26,122,85,22,0,0,59725,57,5525
55JFN_21,0,22,10,0,0,62688,154,2662
55JFN_28,1,0,40,0,0,43690,733,21072
55JFN_17,0,63,625,0,0,6091,7712,51045
55JFN_10,3,257,8,0,0,65266,0,2
52KCU_25,0,0,0,0,0,0,0,65536
52KCU_22,0,0,0,0,0,0,0,65536
59GNM_08,8,18,337,0,0,1631,63477,65
59GNM_01,10,553,51771,0,14,3466,8036,1686
52KCU_14,1,0,0,0,0,0,0,65535
59GNM_06,0,0,0,0,0,26,0,65510
52KCU_13,0,0,0,0,0,0,0,65536
55JFN_11,29,3,0,0,0,63157,151,2196
55JFN_29,0,0,5409,0,0,684,43075,16368
55JFN_16,0,0,19,0,0,65511,0,6
55JFN_20,0,1436,88,0,0,2465,9195,52352
55JFN_18,0,0,0,0,0,65534,2,0
55JFN_27,2,22,294,0,0,32582,7005,25631
51KWR_29,0,0,0,0,0,0,0,65536
51JXK_09,0,0,996,0,0,0,0,64540
51KWR_16,0,0,0,33792,0,0,0,31744
51JXH_11,0,0,0,0,0,788,0,64748
51JXH_29,0,0,0,4093,0,0,0,61443
51JXH_16,0,0,0,3072,0,0,0,62464
51KWR_11,0,0,0,0,0,0,0,65536
51KWR_18,0,0,0,0,0,0,0,65536
51JXK_07,0,0,0,0,0,0,0,65536
51KWR_27,0,0,0,0,0,0,0,65536
51JXH_20,0,0,0,0,0,4,0,65532
51JXH_18,0,0,0,0,0,0,0,65536
51JXH_27,0,0,0,0,0,0,0,65536
51KWR_20,0,0,0,32863,0,0,0,32673
51JXK_00,0,0,0,0,0,0,0,65536
55JBF_25,0,0,0,0,0,2805,0,62731
59GLK_19,9,0,0,0,0,470,0,65057
54KUF_06,1,0,0,0,0,34862,0,30673
54HYE_21,0,0,232,0,0,309,63967,1028
55HEU_29,11,10,28,0,0,13976,275,51236
52KDU_24,0,0,0,0,0,0,0,65536
54LWJ_20,0,5111,0,1,0,11191,0,49233
53JMG_03,0,0,0,0,0,25132,0,40404
59GLK_26,12,0,135,0,0,3195,61453,741
56JMS_12,0,0,7,0,0,33277,134,32118
52JGL_14,0,9258,0,722,0,0,0,55556
55HEU_16,73,16,1470,0,0,1389,28975,33613
54KYA_01,0,0,1025,63487,0,0,0,1024
52KDU_23,0,0,0,0,0,0,0,65536
54KUF_01,0,0,0,65536,0,0,0,0
54HYE_26,0,121,1963,0,0,6141,34094,23217
54LWJ_18,0,0,0,0,0,29035,0,36501
59GLL_09,7,0,4370,0,0,46,53047,8066
55JBF_22,0,0,0,0,0,2399,0,63137
54KYA_06,0,0,17188,25618,0,8619,0,14111
55HEU_11,9,25,379,0,0,8304,22533,34286
52JGL_13,0,0,46,0,0,5753,0,59737
59GLK_21,0,0,0,0,0,17040,36487,12009
56JMS_15,0,24,109,0,0,5295,129,59979
54LWJ_27,0,0,0,0,0,4922,0,60614
53JMG_04,0,0,0,0,0,5430,0,60106
59GNP_09,11,277,1,0,0,30729,31244,3274
54HYE_19,0,0,126,0,0,22838,42206,366
55HEU_18,1,3098,2127,0,0,49232,8506,2572
52KDU_15,0,0,0,0,0,0,0,65536
59GLK_28,0,0,0,0,0,25178,364,39994
55JBF_14,36,0,0,42,0,32065,0,33393
59GNP_00,0,65536,0,0,0,0,0,0
54HYE_10,0,0,270,0,0,1936,51457,11873
52JGL_25,0,0,0,0,0,0,0,65536
55HEU_27,80,197,2058,49,0,11442,29374,22336
54LWJ_11,0,13442,0,0,0,19411,0,32683
54KUF_08,0,0,0,8590,0,150,0,56796
59GLL_00,0,65536,0,0,0,0,0,0
56JMS_23,2,0,311,0,0,59022,6076,125
52KHU_05,0,0,0,0,0,0,0,65536
59GLK_17,145,67,0,0,387,52280,2,12655
54LWJ_29,35,0,0,0,0,48543,0,16958
59GNP_07,45,83,11,71,0,61951,116,3259
54HYE_17,1,24,290,0,0,47166,17562,493
55JBF_13,2,0,0,8515,0,171,0,56848
52KDU_12,0,0,0,0,0,0,0,65536
54KYA_08,0,0,30555,7041,0,12,0,27928
56JMS_24,0,0,0,0,0,36579,291,28666
52KHU_02,7,0,2,58368,0,0,0,7159
59GLK_10,0,0,24,0,6,25109,0,40397
59GLL_07,0,167,3,0,16,49678,0,15672
54HYE_28,0,0,6,0,0,428,60607,4495
54LWJ_16,0,263,0,0,0,33331,0,31942
55HEU_20,0,0,54,0,0,65482,0,0
52JGL_22,0,0,0,34816,0,0,0,30720
51JXH_19,0,0,0,0,0,8,0,65528
51JXK_01,27,0,0,0,0,0,0,65509
51JXH_26,0,0,0,0,0,0,0,65536
51KWR_21,0,0,0,0,0,0,0,65536
51KWR_19,0,0,0,0,0,0,0,65536
51KWR_26,0,0,0,0,0,0,0,65536
51JXH_21,0,0,0,0,0,59,0,65477
51JXK_06,0,0,0,0,0,0,0,65536
51JXH_28,0,0,0,0,0,0,0,65536
51JXH_17,0,0,0,0,0,104,0,65432
51KWR_10,0,0,0,0,0,0,0,65536
51JXK_08,0,0,0,0,0,0,0,65536
51KWR_28,0,0,0,0,0,0,0,65536
51KWR_17,0,0,0,0,0,0,0,65536
51JXH_10,0,0,0,0,0,153,0,65383
52KDU_13,0,0,0,2202,0,0,0,63334
54KYA_09,0,0,44249,7400,0,920,0,12967
54HYE_16,0,0,0,0,0,40424,24400,712
59GNP_06,83,5100,206,119,0,21968,36528,1532
54LWJ_28,0,0,0,0,0,5973,0,59563
55JBF_12,35,0,0,9403,0,1778,0,54320
55HEU_21,4,0,72,0,0,65329,51,80
52JGL_23,0,0,0,0,0,0,0,65536
59GLL_06,0,0,7,0,0,4077,0,61452
52KHU_03,4,0,0,10213,0,51754,0,3565
56JMS_25,0,0,0,0,0,29019,286,36231
59GLK_11,2,2,78,0,0,17599,6910,40945
54LWJ_17,0,0,0,0,0,46435,0,19101
54HYE_29,0,0,14,0,0,650,59603,5269
55JBF_15,0,0,0,21630,0,0,0,43906
59GLK_29,4,0,122,0,0,19484,34820,11106
54HYE_11,13,0,987,0,11,2928,47686,13911
59GNP_01,130,7694,26683,0,0,371,24635,6023
55HEU_19,0,7,16,0,0,55763,315,9435
52KDU_14,0,0,0,0,0,0,0,65536
54KUF_09,23,0,0,57487,0,0,0,8026
54LWJ_10,0,0,0,0,0,48499,0,17037
52KHU_04,0,0,1521,0,0,694,0,63321
56JMS_22,0,0,0,0,0,19152,238,46146
59GLK_16,0,0,480,0,0,2106,58111,4839
59GLL_01,264,8415,36816,0,1,2002,13643,4395
52JGL_24,0,0,0,1,0,0,0,65535
55HEU_26,4,0,11,0,0,65348,17,156
54LWJ_19,0,0,0,0,0,36694,0,28842
54KUF_00,0,65536,0,0,0,0,0,0
54HYE_27,0,0,0,0,0,0,40526,25010
59GLL_08,5,166,0,963,24,64294,0,84
55JBF_23,0,0,0,0,0,3602,0,61934
52KDU_22,0,0,0,0,0,0,0,65536
59GLK_20,0,0,82,0,0,9457,48248,7749
56JMS_14,0,0,0,0,0,578,25,64933
54HYE_18,0,0,0,0,0,0,65534,2
59GNP_08,2,2518,5,37,0,54413,6384,2177
54LWJ_26,0,0,0,0,0,39951,0,25585
53JMG_05,0,0,0,0,0,0,0,65536
55HEU_10,4,0,15,0,0,63179,152,2186
54KYA_07,0,0,21882,22701,0,17,0,20936
52JGL_12,0,0,16438,0,0,0,0,49098
55HEU_28,9,0,69,0,0,51714,246,13498
52KDU_25,0,0,0,0,0,0,0,65536
59GLK_18,0,0,33,0,0,4193,58099,3211
55JBF_24,0,0,0,0,0,50,0,65486
54KUF_07,4,0,0,0,0,2804,0,62728
54HYE_20,0,13,0,0,0,2,65473,48
52JGL_15,0,0,14336,0,0,0,0,51200
54KYA_00,0,453,3310,29261,0,201,0,32311
55HEU_17,0,0,0,0,0,65536,0,0
54LWJ_21,2,0,0,0,0,15747,0,49787
53JMG_02,0,0,0,6153,0,0,0,59383
