level_0,Region,Subregion,Country
37TDK_27,Europe,Eastern Europe,Russia
37TDK_27,Europe,Eastern Europe,Ukraine
39VXD_22,Asia,Central Asia,Russia
39VXD_22,Europe,Eastern Europe,Russia
35UMU_23,Europe,Eastern Europe,Belarus
32TPT_18,Europe,Western Europe,Austria
32TPT_18,Europe,Southern Europe,Italy
31TEJ_29,Europe,Western Europe,France
38UPE_12,Asia,Central Asia,Kazakhstan
38UPE_12,Europe,Eastern Europe,Russia
36UVB_00,Europe,Eastern Europe,Belarus
36UVB_00,Europe,Eastern Europe,Russia
36UVB_00,Europe,Eastern Europe,Ukraine
30SWH_27,Europe,Southern Europe,Spain
38UNV_28,Europe,Eastern Europe,Russia
32TPT_11,Europe,Western Europe,Austria
30UYU_26,Europe,Western Europe,France
31TCF_16,Europe,Southern Europe,Spain
38UNC_06,Europe,Eastern Europe,Russia
39VXD_11,Asia,Central Asia,Russia
39VXD_11,Europe,Eastern Europe,Russia
36VXL_14,Europe,Eastern Europe,Russia
35UMU_18,Europe,Eastern Europe,Belarus
30UWD_19,Europe,Northern Europe,United Kingdom
30UWD_19,Europe,Northern Europe,United Kingdom
36UVB_15,Europe,Eastern Europe,Russia
36UVB_15,Europe,Eastern Europe,Ukraine
30TYN_03,Europe,Southern Europe,Spain
30TYN_03,Europe,Western Europe,France
36VXL_12,Europe,Eastern Europe,Russia
38UNC_14,Europe,Eastern Europe,Russia
36UVB_17,Europe,Eastern Europe,Russia
36UVB_17,Europe,Eastern Europe,Ukraine
30TYN_16,Europe,Southern Europe,Spain
30TYN_16,Europe,Western Europe,France
32TQT_07,Europe,Western Europe,Austria
32TQT_07,Europe,Western Europe,Germany
38UPE_08,Asia,Central Asia,Kazakhstan
38UPE_08,Europe,Eastern Europe,Russia
35TMH_09,Europe,Eastern Europe,Bulgaria
30UYU_14,Europe,Western Europe,France
30UYU_19,Europe,Western Europe,France
36UXE_28,Europe,Eastern Europe,Russia
39VXD_05,Asia,Central Asia,Russia
39VXD_05,Europe,Eastern Europe,Russia
30SWH_22,Europe,Southern Europe,Spain
30UWD_26,Europe,Northern Europe,United Kingdom
30UWD_26,Europe,Northern Europe,United Kingdom
38UNV_21,Europe,Eastern Europe,Russia
30UYU_00,Europe,Western Europe,France
31TEJ_27,Europe,Western Europe,France
32UQD_02,Europe,Western Europe,Germany
36UVE_15,Europe,Eastern Europe,Belarus
36UVE_15,Europe,Eastern Europe,Russia
30UYU_08,Europe,Western Europe,France
35UMU_15,Europe,Eastern Europe,Belarus
38UNC_01,Europe,Eastern Europe,Russia
38UNV_20,Europe,Eastern Europe,Russia
30VUJ_26,Europe,Northern Europe,United Kingdom
36UVB_14,Europe,Eastern Europe,Belarus
36UVB_14,Europe,Eastern Europe,Russia
36UVB_14,Europe,Eastern Europe,Ukraine
31TGK_15,Europe,Western Europe,France
31TEJ_06,Europe,Western Europe,France
36VXL_00,Europe,Eastern Europe,Russia
36UVE_21,Europe,Eastern Europe,Belarus
36UVE_21,Europe,Eastern Europe,Russia
39VXD_02,Asia,Central Asia,Russia
39VXD_02,Europe,Eastern Europe,Russia
38UNC_11,Europe,Eastern Europe,Russia
38UNV_26,Europe,Eastern Europe,Russia
32UQD_11,Europe,Western Europe,Germany
31TGK_12,Europe,Western Europe,France
37UET_07,Europe,Eastern Europe,Russia
37UET_07,Europe,Eastern Europe,Ukraine
32UQD_24,Europe,Western Europe,Germany
38UNV_04,Europe,Eastern Europe,Russia
32UQD_12,Europe,Western Europe,Germany
39VXD_19,Asia,Central Asia,Russia
39VXD_19,Europe,Eastern Europe,Russia
38UNC_05,Europe,Eastern Europe,Russia
38UNC_13,Europe,Eastern Europe,Russia
37UET_19,Europe,Eastern Europe,Russia
