identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
37TDK_27,36.0,97.1503841931943,73.69096744612563,0.0,0.0,74.0311203319502,93.9203056488628,88.3718652215319
39VXD_22,0.0,0.0,74.2883688919477,0.0,39.24390243902439,88.5885039969547,94.62608431256818,70.7657368550975
35UMU_23,72.54545454545455,96.01855152300713,37.770833333333336,0.0,37.64,98.81877951910691,82.89541832669323,83.79682959048877
32TPT_18,35.0,67.0,0.0,0.0,68.0,93.43055555555556,67.0,90.45912166395189
31TEJ_29,0.0,0.0,72.81666666666666,0.0,68.0,97.9629939252076,86.54022988505747,90.56744549639538
38UPE_12,0.0,0.0,67.33734939759036,0.0,0.0,63.37599266951741,96.66620750641974,68.69875592417061
36UVB_00,0.0,91.55020962267918,65.4,38.0,44.41014799154334,95.43493127946351,88.58513263417643,82.0345084178216
30SWH_27,52.5,0.0,68.06479859894921,70.02471116816432,0.0,87.52969396195202,77.49053391446472,79.33909723235566
38UNV_28,0.0,0.0,0.0,0.0,0.0,38.0,65.99965212441296,72.0
32TPT_11,0.0,0.0,37.48,0.0,0.0,71.79160365058671,77.77083333333333,90.45619214810087
30UYU_26,0.0,0.0,91.61092715231788,0.0,68.0,65.58536585365853,99.38260100555182,74.3778409090909
31TCF_16,64.0,0.0,77.8076923076923,0.0,0.0,99.84697744166922,97.07213706041479,98.23636363636363
38UNC_06,0.0,0.0,0.0,0.0,0.0,35.54347826086956,99.44610008774225,64.64895635673625
39VXD_11,0.0,100.0,82.15230460921843,0.0,72.01621621621622,93.52187062269196,95.29383177570094,92.87043764054661
36VXL_14,0.0,0.0,72.53795379537954,0.0,49.86046511627907,68.88564451781538,91.33258855227706,69.78972992364065
35UMU_18,0.0,0.0,78.77839851024208,0.0,35.0,97.65225005306729,97.80264490002531,88.54159061277706
30UWD_19,0.0,100.0,91.96105702364395,0.0,100.0,98.37085005472456,99.20213488597769,90.3361118235445
36UVB_15,0.0,80.15106382978723,36.49152542372882,0.0,0.0,64.01966181675186,97.53959243817083,74.78891724389355
30TYN_03,0.0,76.45588235294117,73.39348370927318,0.0,60.29767441860465,97.13380413724143,94.5485344950045,65.5925925925926
36VXL_12,0.0,65.34008097165992,0.0,0.0,41.50574712643678,68.65747782002535,65.0,97.51250170322932
38UNC_14,0.0,0.0,0.0,0.0,0.0,82.26571262811835,90.06917844832353,85.67173699705593
36UVB_17,0.0,0.0,75.06153846153846,0.0,0.0,66.09470304975923,99.64029481737184,69.4957627118644
30TYN_16,0.0,0.0,0.0,0.0,0.0,88.25778546712803,74.41929885456439,89.52271088680605
32TQT_07,0.0,94.57067371202113,97.23964034401877,0.0,71.36519607843137,98.4174601531774,97.21405257698049,0.0
38UPE_08,0.0,0.0,81.6832298136646,0.0,0.0,67.39603926993017,84.70063534526,64.01662604456824
35TMH_09,100.0,0.0,90.03826530612245,0.0,0.0,99.87612375475824,97.54835569017742,87.287647566945
30UYU_14,0.0,98.15789473684211,79.11609646662927,0.0,0.0,88.57729061270376,98.63965798703713,76.02985074626865
30UYU_19,0.0,0.0,87.09949290459531,0.0,66.11111111111111,93.11645653616456,90.33924892173292,65.47994056463595
36UXE_28,0.0,0.0,100.0,0.0,0.0,99.30660400370773,99.42857142857143,99.94430118617844
39VXD_05,0.0,0.0,0.0,0.0,0.0,68.17655054687994,37.0,65.21931871208587
30SWH_22,36.083333333333336,0.0,47.9184339314845,35.666666666666664,0.0,85.84764609415623,84.49355263157895,69.68691218130311
30UWD_26,0.0,100.0,99.18195488721804,0.0,79.28571428571429,99.72118513444083,99.67516602749977,98.65159189580318
38UNV_21,0.0,0.0,65.77692944531321,0.0,0.0,65.24413793103449,80.2309087611101,75.06135557472918
30UYU_00,0.0,97.81629078169476,87.22485207100591,0.0,72.41484716157206,91.27013732322197,98.88150802833196,84.07665051702944
31TEJ_27,35.0,0.0,55.178481012658224,0.0,0.0,69.39005883323253,84.58121152238353,89.15791837590203
32UQD_02,34.0,0.0,68.55415162454874,0.0,0.0,77.06120384420839,87.4057849255881,66.45767421975204
36UVE_15,0.0,43.0,0.0,0.0,0.0,83.67805079306868,49.467386609071276,62.355414012738855
30UYU_08,0.0,95.7925925925926,90.55072463768116,0.0,35.0,94.43543249203627,99.75612474130153,91.4985329421179
35UMU_15,0.0,0.0,83.89473684210526,0.0,72.91176470588235,99.6486207569799,99.03668268056347,90.50709677419354
38UNC_01,0.0,0.0,99.46906221268772,0.0,0.0,100.0,100.0,100.0
38UNV_20,0.0,38.904761904761905,68.50641025641026,0.0,0.0,0.0,88.51279858173675,65.95368421052632
30VUJ_26,0.0,99.24232206992598,68.77546777546777,59.0,67.39668874172186,82.35249376558603,78.54934398174558,95.04106115283332
36UVB_14,0.0,0.0,100.0,0.0,0.0,88.44806219017576,91.51057756883814,79.65490662035768
31TGK_15,0.0,100.0,96.7457627118644,0.0,100.0,97.79394107837687,94.94386620407437,100.0
31TEJ_06,0.0,0.0,67.0,0.0,67.0,99.46876078702105,99.26935380678184,99.66615351861253
36VXL_00,0.0,99.85798189222847,0.0,0.0,74.71428571428571,92.96223175965665,100.0,86.89352517985611
