level_0,Region,Subregion,Country
14QKH_25,Americas,Central America,Mexico
17SMU_26,Americas,Northern America,United States
14TNS_00,Americas,Northern America,Canada
14TNS_00,Americas,Northern America,United States
15UYP_04,Americas,Northern America,Canada
15UYP_04,Americas,Northern America,United States
14ULE_13,Americas,Northern America,Canada
12TVR_19,Americas,Northern America,Canada
12TVR_19,Americas,Northern America,United States
11ULB_16,Americas,Northern America,Canada
14SPB_09,Americas,Northern America,United States
13SFR_18,Americas,Central America,Mexico
13SFR_18,Americas,Northern America,United States
17SMU_19,Americas,Northern America,United States
11SPU_00,Americas,Northern America,United States
13SFR_27,Americas,Central America,Mexico
13SFR_27,Americas,Northern America,United States
11ULB_29,Americas,Northern America,Canada
15TYJ_24,Americas,Northern America,Canada
15TYJ_24,Americas,Northern America,United States
12TVR_26,Americas,Northern America,Canada
12TVR_26,Americas,Northern America,United States
11ULB_11,Americas,Northern America,Canada
14ULE_14,Americas,Northern America,Canada
15UYP_03,Americas,Northern America,Canada
15UYP_03,Americas,Northern America,United States
14TNS_07,Americas,Northern America,Canada
14TNS_07,Americas,Northern America,United States
14QKH_22,Americas,Central America,Mexico
17SMU_21,Americas,Northern America,United States
12SYE_08,Americas,Northern America,United States
15TYJ_23,Americas,Northern America,Canada
15TYJ_23,Americas,Northern America,United States
12TVR_21,Americas,Northern America,Canada
12TVR_21,Americas,Northern America,United States
13SFR_20,Americas,Central America,Mexico
13SFR_20,Americas,Northern America,United States
14SND_09,Americas,Northern America,United States
11SPU_07,Americas,Northern America,United States
18TXP_08,Americas,Northern America,Canada
18TXP_08,Americas,Northern America,United States
14ULE_22,Americas,Northern America,Canada
12TVR_28,Americas,Northern America,Canada
12TVR_28,Americas,Northern America,United States
12SYE_01,Americas,Northern America,United States
13SFR_29,Americas,Central America,Mexico
13SFR_29,Americas,Northern America,United States
11ULB_27,Americas,Northern America,Canada
14QMJ_04,Americas,Central America,Mexico
14SND_00,Americas,Northern America,United States
18TXP_01,Americas,Northern America,Canada
18TXP_01,Americas,Northern America,United States
17SMU_17,Americas,Northern America,United States
14QKH_14,Americas,Central America,Mexico
11ULB_18,Americas,Northern America,Canada
14SPB_07,Americas,Northern America,United States
13SFR_16,Americas,Central America,Mexico
13SFR_16,Americas,Northern America,United States
15TYJ_15,Americas,Northern America,Canada
15TYJ_15,Americas,Northern America,United States
12TVR_17,Americas,Northern America,Canada
12TVR_17,Americas,Northern America,United States
17SMU_28,Americas,Northern America,United States
17SMU_10,Americas,Northern America,United States
14QKH_13,Americas,Central America,Mexico
18TXP_06,Americas,Northern America,Canada
18TXP_06,Americas,Northern America,United States
14SND_07,Americas,Northern America,United States
11SPU_09,Americas,Northern America,United States
11ULB_20,Americas,Northern America,Canada
14QMJ_03,Americas,Central America,Mexico
12SYE_06,Americas,Northern America,United States
14ULE_25,Americas,Northern America,Canada
14TNS_09,Americas,Northern America,Canada
14TNS_09,Americas,Northern America,United States
15TYJ_12,Americas,Northern America,Canada
15TYJ_12,Americas,Northern America,United States
12TVR_10,Americas,Northern America,Canada
12TVR_10,Americas,Northern America,United States
14SPB_00,Americas,Northern America,United States
13SFR_11,Americas,Central America,Mexico
13SFR_11,Americas,Northern America,United States
10UCC_24,Americas,Northern America,Canada
15SVR_27,Americas,Central America,Mexico
15SVR_27,Americas,Northern America,United States
13SBS_11,Americas,Northern America,United States
17TPL_25,Americas,Northern America,Canada
17TPL_25,Americas,Northern America,United States
12VXH_07,Americas,Northern America,Canada
19TDK_22,Americas,Northern America,Canada
19TDK_22,Americas,Northern America,United States
16PGV_23,Americas,Central America,Honduras
16PGV_23,Americas,Central America,Nicaragua
13QEC_05,Americas,Central America,Mexico
15SVR_18,Americas,Central America,Mexico
15SVR_18,Americas,Northern America,United States
15SVR_20,Americas,Central America,Mexico
15SVR_20,Americas,Northern America,United States
13SBS_16,Americas,Northern America,United States
10UCC_23,Americas,Northern America,Canada
13SBS_29,Americas,Central America,Mexico
13SBS_29,Americas,Northern America,United States
16PGV_24,Americas,Central America,Nicaragua
13QEC_02,Americas,Central America,Mexico
19TDK_25,Americas,Northern America,Canada
19TDK_25,Americas,Northern America,United States
17TPL_22,Americas,Northern America,Canada
17TPL_22,Americas,Northern America,United States
12VXH_00,Americas,Northern America,Canada
15UWS_03,Americas,Northern America,Canada
13SBS_20,Americas,Northern America,United States
15SVR_16,Americas,Central America,Mexico
15SVR_16,Americas,Northern America,United States
12VXH_09,Americas,Northern America,Canada
10UCC_15,Americas,Northern America,Canada
15SVR_29,Americas,Central America,Mexico
15SVR_29,Americas,Northern America,United States
16PGV_12,Americas,Central America,Honduras
16PGV_12,Americas,Central America,Nicaragua
17TPL_14,Americas,Northern America,Canada
17TPL_14,Americas,Northern America,United States
19TDK_13,Americas,Northern America,Canada
19TDK_13,Americas,Northern America,United States
11UMQ_05,Americas,Northern America,Canada
11UMQ_05,Americas,Northern America,United States
10UCC_12,Americas,Northern America,Canada
13SBS_27,Americas,Northern America,United States
15SVR_11,Americas,Central America,Mexico
15SVR_11,Americas,Northern America,United States
15UWS_04,Americas,Northern America,Canada
11UMQ_02,Americas,Northern America,Canada
19TDK_14,Americas,Northern America,Canada
19TDK_14,Americas,Northern America,United States
