identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
14QKH_25,65.38372093023256,95.51649387370405,88.61913580246913,0.0,0.0,93.43359375,99.60055793322128,89.97225891677675
17SMU_26,0.0,88.61616161616162,83.1041095890411,0.0,67.0,98.45168187302865,88.58560716517393,95.30907944514502
14TNS_00,0.0,99.40119662514316,62.01754385964912,0.0,55.0,79.88719898605831,86.38865814696486,80.76837096060204
15UYP_04,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
14ULE_13,0.0,96.8014440433213,0.0,70.0,0.0,93.88120019161259,40.16,98.04068366079906
12TVR_19,0.0,0.0,35.5427807486631,0.0,0.0,64.29931972789116,85.73681052072081,70.48410878112713
11ULB_16,0.0,65.83555555555556,68.87285223367698,36.69017632241814,0.0,96.87935594093005,90.87204391891892,75.64403811125122
14SPB_09,65.83333333333333,55.61121856866538,91.41289309510674,0.0,74.28260869565217,71.13542090280602,76.34046399517928,80.39405884837393
13SFR_18,36.0,0.0,65.95248219411077,35.0,0.0,76.07594936708861,0.0,73.92733186749287
17SMU_19,71.0,70.14444444444445,68.98987341772153,0.0,0.0,81.3152709359606,70.30840371214798,91.83690053794209
11SPU_00,35.0,62.44094488188976,53.862028301886795,72.09079788425423,0.0,0.0,0.0,62.7601166605906
13SFR_27,0.0,0.0,61.58900279589935,0.0,0.0,0.0,44.205983994179704,64.64998290932175
11ULB_29,42.0,0.0,72.21458209839953,40.07479224376731,0.0,94.39025695931477,61.78947368421053,73.07554560716284
15TYJ_24,43.0,82.7008356545961,85.41386382280558,0.0,58.58108108108108,99.71966203003358,98.35880267821977,95.98095996525012
12TVR_26,0.0,89.34527911784976,86.48818565400843,0.0,50.28,85.13545816733068,95.79330921265796,91.09003807372076
11ULB_11,65.0,100.0,61.875,0.0,76.00746268656717,99.31890269106098,97.72085705723704,90.93241511851377
14ULE_14,0.0,95.58212482543775,0.0,0.0,0.0,97.14619289340102,35.0,93.17121368529715
15UYP_03,72.0,81.6539140670983,41.0,37.42666666666667,72.16666666666667,97.65146587769274,68.42405063291139,80.19879357757473
14TNS_07,40.0,64.37506603275224,78.31719532554257,0.0,78.0,78.1845444059977,95.9273522099678,58.750111557340475
14QKH_22,0.0,100.0,94.37007874015748,0.0,0.0,98.65833896016206,100.0,99.88157410812799
17SMU_21,0.0,100.0,87.31833910034602,0.0,0.0,99.39435998146473,91.6425594508458,86.7755676967731
12SYE_08,0.0,0.0,62.0,90.29202318948413,0.0,0.0,0.0,0.0
15TYJ_23,0.0,66.0,90.78443113772455,0.0,0.0,99.86004738315744,99.14597675386635,95.68938888359233
12TVR_21,0.0,0.0,66.0,0.0,0.0,85.21714285714286,60.6,99.6818460877306
13SFR_20,65.39024390243902,0.0,71.70115250603055,39.03236607142857,0.0,0.0,37.0,78.88322436930656
14SND_09,67.0,66.49397590361446,65.16170212765958,0.0,0.0,64.65227817745803,94.2478536410379,66.22265052810116
11SPU_07,0.0,0.0,72.0,40.0,0.0,71.65445819651427,0.0,82.73667036481106
18TXP_08,0.0,99.78231292517007,0.0,0.0,67.19047619047619,100.0,0.0,99.56545690213869
14ULE_22,0.0,96.61308411214954,70.0,35.0,75.32352941176471,85.83497053045187,71.69196428571429,99.02063423828577
12TVR_28,37.55555555555556,0.0,92.78064516129032,0.0,0.0,97.91269111715599,79.66875,96.0446922618541
12SYE_01,100.0,0.0,66.07372420166341,70.48948396410677,0.0,0.0,0.0,62.0
13SFR_29,0.0,0.0,0.0,0.0,0.0,0.0,71.24376429991374,64.44342557720648
11ULB_27,0.0,0.0,0.0,36.0,0.0,99.65106699190669,69.83720930232558,69.77025993883792
14QMJ_04,0.0,100.0,100.0,0.0,0.0,100.0,99.99842695256422,98.71428571428571
14SND_00,70.0,99.89057839338979,82.26328502415458,0.0,0.0,84.83761638733706,74.57243816254417,98.12837837837837
18TXP_01,41.26769230769231,67.70493827160495,83.54079299918881,0.0,48.55555555555556,59.92273361227336,67.37002042900919,59.969446330473424
17SMU_17,43.44444444444444,58.180616740088105,71.21075479624703,0.0,0.0,80.35992578849722,73.37949594731509,84.41290238836967
14QKH_14,0.0,0.0,79.65384615384616,0.0,0.0,100.0,99.99948040039735,97.01754385964912
11ULB_18,58.666666666666664,88.75488069414317,72.1175,0.0,68.05118110236221,81.65072765072765,96.72334074898035,73.31258755253153
14SPB_07,0.0,71.43909348441926,67.34162162162163,42.0,67.0,61.02599534820085,68.40466301157446,76.37313921151645
13SFR_16,35.0,0.0,70.06627353749246,35.51323874427438,0.0,52.03875968992248,0.0,67.66022458913683
15TYJ_15,54.25,0.0,60.23048327137546,0.0,71.0,99.4868824421569,96.69414288071276,88.33848492525969
12TVR_17,0.0,0.0,0.0,80.35559551145964,0.0,0.0,70.93611187277214,62.14980606600115
17SMU_28,36.0,100.0,98.77782444351114,0.0,0.0,98.07803261401725,96.82595054904012,99.82620266120777
17SMU_10,0.0,94.82198952879581,77.69540873460247,0.0,36.0,99.42505814454303,97.86049291365474,89.83008639674742
14QKH_13,100.0,100.0,93.1452380952381,0.0,0.0,98.06494824436777,99.92915163406967,99.2250549105742
18TXP_06,59.12,87.04054054054055,83.43231887349535,0.0,57.673202614379086,97.28284935023264,86.29110898661568,91.20524167903328
14SND_07,51.5,42.12215909090909,81.77164605137963,0.0,0.0,67.556914771422,77.15860890191153,69.43111184975902
11SPU_09,0.0,0.0,72.0,37.0,0.0,0.0,0.0,63.84505279863273
11ULB_20,37.0,0.0,75.72158850866076,0.0,0.0,82.78359564164649,75.05284430234663,68.68028368794326
14QMJ_03,0.0,0.0,0.0,0.0,0.0,99.578125,0.0,0.0
12SYE_06,0.0,0.0,69.14199157007376,53.051467163483935,0.0,79.79398752127057,0.0,87.18424461763072
14ULE_25,0.0,96.96908287866978,38.90909090909091,52.8928046989721,95.53846153846153,98.04362273153276,0.0,97.20361640096768
14TNS_09,0.0,73.45055487053021,65.13038130381304,0.0,37.0,56.25523012552301,95.38711848436921,61.59744408945687
15TYJ_12,0.0,0.0,75.76296296296296,0.0,0.0,75.29906808672499,97.0697213836599,65.81842941443486
