level_0,Region,Subregion,Country
19HGA_29,Americas,South America,Argentina
19HGA_29,Americas,South America,Chile
19PEK_02,Americas,South America,Colombia
19PEK_02,Americas,South America,Venezuela
18GXU_01,Americas,South America,Chile
21LYD_17,Americas,South America,Brazil
19LCK_00,Americas,South America,Brazil
19LCK_00,Americas,South America,Peru
19HGA_16,Americas,South America,Argentina
19HGA_16,Americas,South America,Chile
19KHV_05,Americas,South America,Bolivia
19KHV_05,Americas,South America,Brazil
21LYD_28,Americas,South America,Brazil
21KVS_01,Americas,South America,Brazil
21KVS_01,Americas,South America,Paraguay
21LYD_10,Americas,South America,Brazil
18GXU_06,Americas,South America,Argentina
18GXU_06,Americas,South America,Chile
19PEK_05,Americas,South America,Colombia
19PEK_05,Americas,South America,Venezuela
21KVS_06,Americas,South America,Brazil
21KVS_06,Americas,South America,Paraguay
19KHV_02,Americas,South America,Bolivia
19KHV_02,Americas,South America,Brazil
19HGA_11,Americas,South America,Argentina
21NTF_08,Americas,South America,Brazil
21NTF_08,Americas,South America,Guyana
19LCK_07,Americas,South America,Brazil
19LCK_07,Americas,South America,Peru
21LYD_26,Americas,South America,Brazil
21MXR_02,Americas,South America,Brazil
19HGA_18,Americas,South America,Argentina
19HGA_18,Americas,South America,Chile
21NTF_01,Americas,South America,Brazil
21NTF_01,Americas,South America,Guyana
20JPQ_03,Americas,South America,Argentina
20JPQ_03,Americas,South America,Brazil
21LYD_19,Americas,South America,Brazil
21LXK_05,Americas,South America,Brazil
19HGA_27,Americas,South America,Argentina
21NTF_06,Americas,South America,Guyana
19LCK_09,Americas,South America,Brazil
19LCK_09,Americas,South America,Peru
21MXR_05,Americas,South America,Brazil
21KVS_08,Americas,South America,Brazil
21KVS_08,Americas,South America,Paraguay
21LYD_21,Americas,South America,Brazil
19HGA_20,Americas,South America,Argentina
21LXK_02,Americas,South America,Brazil
18GXU_08,Americas,South America,Argentina
18GXU_08,Americas,South America,Chile
20JPQ_04,Americas,South America,Argentina
20JPQ_04,Americas,South America,Brazil
20JPQ_04,Americas,South America,Paraguay
