identifier,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
19HGA_29,0.0,0.0,0.0,0.0,0.0,0.0,78.93142700195312,0.0
19PEK_02,63.72919818456884,0.0,0.0,0.0,0.0,90.48032646480931,67.01939058171745,89.86347251763125
18GXU_01,69.00597609561753,96.77842755035738,93.36398580721466,0.0,64.65779467680608,74.83139837116617,82.82959431669471,82.08832833832834
21LYD_17,100.0,0.0,100.0,0.0,0.0,98.9592775796618,99.77632852274162,82.35008665511265
19LCK_00,51.452991452991455,95.7452193995381,64.0,63.361111111111114,0.0,95.64446332483716,0.0,84.33045019877511
19HGA_16,39.0,0.0,44.63636363636363,0.0,0.0,0.0,97.34645115952213,0.0
19KHV_05,35.0,64.24237427864799,52.928825622775804,38.0,0.0,41.454918032786885,92.46409477922249,67.68987796123474
21LYD_28,0.0,99.5563025210084,85.95072463768116,0.0,0.0,99.19294079109,99.20221302799962,82.13333333333334
21KVS_01,61.125,0.0,64.06517909571345,45.90596892886345,0.0,88.89489520647437,75.70838850377756,62.91499314841941
21LYD_10,73.44941176470589,99.49367088607595,76.7659873506676,0.0,0.0,98.30738576779027,91.91387984610832,89.80654582074521
18GXU_06,0.0,0.0,61.84375,0.0,0.0,84.05594529793092,66.30861244019138,93.93757547607989
19PEK_05,0.0,0.0,0.0,0.0,0.0,75.43,68.58415841584159,83.08020874515695
21KVS_06,0.0,0.0,62.82539682539682,74.93023255813954,0.0,99.74997509116633,83.8152753108348,97.86256317417214
19KHV_02,0.0,0.0,40.79558011049724,90.82305447162209,0.0,67.0,64.46291331546023,66.45614035087719
19HGA_11,0.0,0.0,45.06985294117647,0.0,36.0,67.0,92.55154282774035,46.32649572649573
21NTF_08,34.0,63.95397489539749,44.90243902439025,0.0,0.0,97.99793005774049,0.0,82.0812324929972
19LCK_07,0.0,0.0,0.0,0.0,0.0,98.82574908116862,0.0,78.8489425981873
21LYD_26,67.0,0.0,57.03252032520325,0.0,0.0,95.43077650023626,97.76601767467551,82.86595174262735
21MXR_02,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
19HGA_18,0.0,0.0,40.0,39.08846069629954,0.0,0.0,73.2818298601199,62.95110476794587
21NTF_01,36.0,66.0,64.46316851664984,0.0,34.0,94.81138960914242,0.0,88.3972931745156
20JPQ_03,73.21666666666667,0.0,0.0,37.0,0.0,66.45279674560511,49.09167030091583,68.68447124703856
21LYD_19,0.0,0.0,0.0,0.0,0.0,99.94178129141342,99.83701262789197,84.19066147859922
21LXK_05,0.0,58.86732673267327,0.0,0.0,0.0,98.98416091282351,0.0,75.0
19HGA_27,61.526785714285715,0.0,66.0,0.0,0.0,62.71183469004383,56.01008344923505,67.20495127215645
21NTF_06,0.0,0.0,59.0625,0.0,0.0,99.70663679208839,0.0,77.21713441654357
19LCK_09,0.0,0.0,0.0,0.0,0.0,95.08905109489051,0.0,68.55246422893482
21MXR_05,0.0,0.0,68.31506849315069,0.0,0.0,96.15323084614423,60.351338873499536,84.85888213743186
21KVS_08,75.69565217391305,84.55867602808425,74.11886586695746,67.78260869565217,0.0,95.10218173804452,95.43390343844646,84.56708891895215
21LYD_21,0.0,0.0,50.5,0.0,0.0,96.09399019717054,80.18246517262266,93.00024369440722
19HGA_20,0.0,0.0,0.0,0.0,0.0,0.0,93.1717529296875,0.0
21LXK_02,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
18GXU_08,0.0,99.86212801240109,0.0,35.0,63.08653846153846,98.20709335507541,68.0,80.46278062229224
20JPQ_04,0.0,0.0,0.0,0.0,0.0,0.0,94.85696411132812,0.0
22NCK_11,0.0,0.0,0.0,0.0,0.0,99.9981689453125,0.0,0.0
20LKP_01,67.0,0.0,98.94579265850007,0.0,0.0,99.97294440921581,0.0,93.38812443912653
20LRK_06,0.0,0.0,67.92666666666666,0.0,0.0,99.81786417125186,91.53777103320559,69.16941015089164
19GGM_03,0.0,0.0,41.10928961748634,76.71148070493568,0.0,0.0,37.40261865793781,70.0403820201391
18HYF_04,0.0,0.0,100.0,0.0,0.0,96.29046712908968,61.78,98.14285714285714
19PDL_23,70.12994350282486,75.0352,75.62058371735792,0.0,0.0,94.87704893736847,90.99521258406475,90.8677882330577
19KFA_08,92.73370786516854,0.0,80.53705440900563,84.81644387474822,0.0,100.0,66.75678924023465,99.61333333333333
22LBN_09,0.0,0.0,0.0,0.0,0.0,100.0,69.125,62.0
22NCK_16,0.0,0.0,0.0,0.0,0.0,83.542065684469,41.0,67.28726287262873
19PDL_24,69.76138433515483,78.08108108108108,77.73269362577108,47.0,0.0,95.67276587141124,89.13106020245073,93.38513332440037
22NCK_29,0.0,0.0,0.0,0.0,0.0,99.31763822023244,65.0,64.98709677419355
18HYF_03,40.0,99.01945274307441,74.0,75.9907913931437,64.90625,94.90829822097378,87.042194092827,77.70224146714213
19GGM_04,0.0,0.0,0.0,74.77562380975634,0.0,38.0,0.0,68.83333333333333
20LKP_06,0.0,0.0,55.33613445378151,0.0,0.0,88.90116913484022,71.58344091574146,70.85997963340122
20LRK_01,0.0,0.0,68.74947307217094,0.0,0.0,77.55237932214995,76.21968447472213,75.72165188987401
22NCK_20,0.0,0.0,0.0,0.0,0.0,99.52072143554688,0.0,0.0
20LRK_08,0.0,62.0,68.6086956521739,0.0,0.0,96.06963402571711,96.30303444972803,83.4967088607595
19PDL_12,67.54411764705883,56.0,72.68589407446251,0.0,0.0,80.45860615639347,74.22949806949806,89.93132273397804
19KFA_01,68.0,42.04848656027868,68.0012077294686,60.0,0.0,0.0,68.0,60.666666666666664
19NHC_04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,77.0
22LBN_00,0.0,99.65798878898461,0.0,0.0,0.0,93.0266688375122,60.17182962245886,52.14539265742767
20LKP_08,0.0,0.0,60.47154471544715,0.0,0.0,97.69818181818182,77.33509031853667,69.83293216630197
22NCK_27,0.0,0.0,0.0,0.0,0.0,99.87532043457031,0.0,0.0
19NHC_03,0.0,0.0,0.0,0.0,0.0,99.2969731232906,0.0,96.73033707865169
22LBN_07,0.0,63.16129032258065,0.0,0.0,0.0,98.23283582089552,53.52348993288591,55.84516129032258
22NCK_18,0.0,0.0,0.0,0.0,0.0,99.98974609375,0.0,0.0
19KFA_06,0.0,71.90666666666667,74.47092469018112,0.0,0.0,85.0625,71.31428571428572,99.80592115498304
19PDL_15,63.0,46.11538461538461,46.42285714285714,0.0,0.0,93.37077189196596,45.09903121636168,84.70956072351422
21MXR_04,0.0,0.0,0.0,0.0,0.0,99.99844165368044,0.0,77.58536585365853
21LYD_20,0.0,53.833333333333336,66.03523693803159,0.0,0.0,88.76884011970617,77.85367995784297,84.63679245283019
21KVS_09,71.1,74.94625719769674,46.145833333333336,42.1839974084872,0.0,91.2203332199932,78.22544814692621,76.91552758383322
21NTF_07,50.42857142857143,46.92156862745098,47.53086419753087,0.0,0.0,97.9846547314578,0.0,86.49306625577812
19LCK_08,0.0,0.0,0.0,0.0,0.0,97.92860513401284,0.0,72.12653061224489
20JPQ_05,60.111111111111114,0.0,0.0,0.0,0.0,78.39189189189189,0.0,96.89864482911402
19HGA_21,0.0,0.0,0.0,0.0,0.0,0.0,94.13005065917969,0.0
18GXU_09,0.0,99.68586527843509,52.205673758865245,0.0,54.53333333333333,78.11258278145695,0.0,68.77922077922078
21LXK_03,0.0,67.0,76.39393939393939,39.0,0.0,99.86537506209638,97.4543477161212,87.49925690021232
