identifier,test,JS_div,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
28QDE_00,False,0.7047892110219063,0,0,3,65533,0,0,0,0
28QDE_01,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_02,False,0.6855233152881778,0,0,233,64616,0,45,0,642
28QDE_03,False,0.5885556755517761,6,0,56976,2460,0,1111,2644,2339
28QDE_04,False,0.6073537379985572,4,0,592,53437,0,874,75,10554
28QDE_05,False,0.7035031014673802,0,0,0,65493,0,0,0,43
28QDE_06,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_07,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_08,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_09,False,0.7041531502158875,0,0,0,65515,0,0,0,21
28QDE_10,False,0.7048324227854741,0,0,0,65534,0,0,0,2
28QDE_11,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_12,False,0.6978978495037307,1,0,261,65252,0,0,0,22
28QDE_13,False,0.7048324227854741,0,0,0,65534,0,0,0,2
28QDE_14,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_15,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_16,False,0.7016489058430357,0,0,0,65418,0,0,0,118
28QDE_17,False,0.7042285467365428,1,0,17,65518,0,0,0,0
28QDE_18,False,0.7034500445490897,4,0,20,65498,0,0,0,14
28QDE_19,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_20,False,0.6974089658180067,0,0,3,65261,0,144,0,128
28QDE_21,False,0.6999687224452646,0,0,86,65369,0,0,0,81
28QDE_22,False,0.7044835757076496,5,0,0,65526,0,0,0,5
28QDE_23,False,0.7048784629954079,0,0,1,65535,0,0,0,0
28QDE_24,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_25,False,0.7033926443978482,0,0,0,65489,0,0,0,47
28QDE_26,False,0.7048784629954079,0,0,0,65535,0,0,0,1
28QDE_27,False,0.7031505560325929,0,0,0,65480,0,0,0,56
28QDE_28,False,0.7049320014357696,0,0,0,65536,0,0,0,0
28QDE_29,False,0.7049320014357696,0,0,0,65536,0,0,0,0
29NMG_00,False,0.6880120748789799,0,64514,0,1022,0,0,0,0
29NMG_01,True,0.492743597925926,34,0,16065,237,0,13882,3751,31567
29NMG_02,True,0.5143001705964839,0,8181,2,1099,1608,39235,0,15411
29NMG_03,False,0.6232199120453241,0,20071,0,0,0,45465,0,0
29NMG_04,True,0.4747991132498102,0,0,5078,493,0,14886,20166,24913
29NMG_05,False,0.5687660655368307,0,0,1118,173,33,13633,2794,47785
29NMG_06,False,0.6225619119303715,0,0,0,0,0,45197,8,20331
29NMG_07,False,0.7025155113499908,0,0,0,0,0,65455,0,81
29NMG_08,False,0.7049320014357696,0,0,0,0,0,65536,0,0
29NMG_09,False,0.7040282856048315,0,65511,0,0,25,0,0,0
29NMG_10,False,0.6076012198034695,0,0,0,535,0,40647,0,24354
29NMG_11,False,0.7049320014357696,0,0,0,0,0,65536,0,0
29NMG_12,False,0.7049320014357696,0,0,0,0,0,65536,0,0
29NMG_13,False,0.6917578470813666,0,0,79,2,0,64917,0,538
29NMG_14,False,0.683430019848272,0,1340,28,0,0,64166,0,2
29NMG_15,False,0.6973258565768485,0,0,0,0,0,65193,0,343
29NMG_16,False,0.7047478352372853,0,0,0,0,0,65532,0,4
29NMG_17,False,0.5993668911135531,0,0,736,951,0,50748,38,13063
29NMG_18,False,0.7044162295817585,0,0,13,0,0,65523,0,0
29NMG_19,False,0.6855839264136255,0,0,5,0,0,64311,0,1220
29NMG_20,False,0.7014041452751443,0,0,129,0,0,65407,0,0
29NMG_21,False,0.6347522437585352,1,0,429,28,0,56609,0,8469
29NMG_22,False,0.7049320014357696,0,0,0,0,0,65536,0,0
29NMG_23,False,0.6992173012814918,0,0,0,8,0,65309,0,219
29NMG_24,False,0.7049320014357696,0,0,0,0,0,65536,0,0
29NMG_25,False,0.658808356871536,0,0,0,352,0,61583,0,3601
29NMG_26,False,0.6808969194301547,0,0,62,564,0,64362,0,548
29NMG_27,False,0.6851110816665834,0,0,913,2,41,64492,1,87
29NMG_28,False,0.7045570619597078,0,0,0,0,0,65527,0,9
29NMG_29,False,0.7022977442446211,0,0,90,0,0,65446,0,0
29PKL_00,True,0.4701896379634367,0,21273,560,4470,0,15716,141,23376
29PKL_01,True,0.5138479429510088,0,0,29031,1110,0,9470,686,25239
29PKL_02,False,0.7046050076117237,0,0,0,4,0,65529,0,3
29PKL_03,True,0.42495736219961594,0,0,4336,18255,0,8234,23405,11306
29PKL_04,False,0.5593902040614336,0,0,154,7766,0,10186,617,46813
29PKL_05,True,0.5226763428321642,0,884,0,16532,0,27528,2,20590
29PKL_06,False,0.6105379929742999,0,0,256,149,0,20441,24,44666
29PKL_07,False,0.5795660975409093,0,0,40,6123,0,9615,197,49561
29PKL_08,False,0.6022800286860521,0,0,5,2247,0,11241,129,51914
29PKL_09,False,0.6183508887517025,0,0,0,1435,0,6050,630,57421
29PKL_10,False,0.5860872733083458,0,23,434,971,0,12235,1077,50796
29PKL_11,False,0.653105308273852,0,50,12,0,0,59953,53,5468
29PKL_12,False,0.6145286182086798,0,0,0,1872,0,7309,295,56060
29PKL_13,False,0.6172635386263863,0,0,387,190,0,51826,55,13078
29PKL_14,False,0.6469076314099231,0,0,11,96,0,1896,2162,61371
29PKL_15,False,0.6151669327033397,0,0,51,1497,0,4956,1055,57977
29PKL_16,False,0.606903563232801,0,23,344,409,0,12425,374,51961
29PKL_17,False,0.6237378025163848,0,102,0,15,0,7516,1269,56634
29PKL_18,False,0.6060911917527972,0,0,0,752,0,3070,5198,56516
29PKL_19,False,0.5651318894464165,0,0,0,3585,0,32110,425,29416
29PKL_20,False,0.5828741895334449,0,0,4,2545,0,24819,49,38119
29PKL_21,False,0.5779520418170163,0,0,88,907,0,23155,1217,40169
29PKL_22,False,0.5975867598953194,0,0,413,719,0,51443,607,12354
29PKL_23,True,0.5418022571358591,0,5,3,5317,59,11656,3007,45489
29PKL_24,False,0.5594249325887138,0,0,156,7396,0,7595,1323,49066
29PKL_25,False,0.5711404251264894,0,0,205,6573,0,9197,342,49219
29PKL_26,False,0.5623052683557673,0,0,2,7510,0,18698,22,39304
29PKL_27,False,0.5594278907254961,0,625,456,1515,123,42406,374,20037
29PKL_28,False,0.5787328821457414,0,0,25,3013,0,25865,23,36610
29PKL_29,True,0.5501263019463475,0,0,282,3304,0,19962,1406,40582
29PNM_00,True,0.43112761536095395,0,6563,343,5940,0,5394,20094,27202
29PNM_01,True,0.5427829235315235,0,0,40227,30,0,834,14975,9470
29PNM_02,False,0.6516140518232189,0,0,424,523,0,62315,244,2030
29PNM_03,False,0.6433732325778556,0,0,507,87,0,544,61030,3368
29PNM_04,False,0.6375481320967311,0,0,7,3577,0,1616,173,60163
29PNM_05,False,0.5617798112514635,0,0,65,2650,0,13384,2325,47112
29PNM_06,False,0.5800907694532886,0,0,0,1458,0,10964,2513,50601
29PNM_07,False,0.5813772319062921,0,0,0,2724,0,26851,28,35933
29PNM_08,True,0.5393890668690652,0,0,323,12898,40,6541,1491,44243
29PNM_09,True,0.535890936239182,0,0,322,13142,0,9238,1058,41776
29PNM_10,False,0.5753604702037012,0,0,40,2699,0,49426,1361,12010
29PNM_11,True,0.4547102279552279,0,218,3452,9859,0,4488,12893,34626
29PNM_12,True,0.49213727849123295,0,0,898,15104,0,22854,1750,24930
29PNM_13,True,0.5483336149357121,0,0,278,6981,0,37203,227,20847
29PNM_14,True,0.539866622887741,0,0,203,20653,0,6484,912,37284
29PNM_15,True,0.5303101577072199,0,0,102,19204,0,25217,174,20839
29PNM_16,True,0.5144948589408226,0,0,621,18688,0,10811,1195,34221
29PNM_17,True,0.5461334422802905,0,0,269,7286,0,44620,1056,12305
29PNM_18,False,0.5582511902328048,0,0,499,19392,0,4049,313,41283
29PNM_19,True,0.5239238745744026,0,0,338,7081,0,29321,1418,27378
29PNM_20,False,0.5650069275144975,0,0,6,4942,0,31661,79,28848
29PNM_21,False,0.5646055680037287,0,0,53,5267,0,24608,31,35577
29PNM_22,False,0.6169185488944287,0,0,0,0,0,27933,17,37586
29PNM_23,False,0.5559538166898502,0,0,3248,1256,0,2401,6638,51993
29PNM_24,False,0.6554524584404376,0,0,0,145,0,60430,0,4961
29PNM_25,False,0.5597764474962375,0,0,119,3338,0,18515,1080,42484
29PNM_26,False,0.5550630337141315,0,85,16,3001,0,12757,2764,46913
29PNM_27,True,0.4909415611517785,0,55,3251,2894,25,5048,14503,39760
29PNM_28,False,0.5863117392558286,0,0,0,986,0,16010,1392,47148
29PNM_29,True,0.5467440906412198,0,1290,212,675,0,31121,1623,30615
30PTV_00,True,0.44357438696738943,587,27708,1507,15975,0,2965,493,16301
30PTV_01,False,0.6313270781678232,0,0,60870,282,0,1438,1087,1859
30PTV_02,False,0.6252514816707339,28,0,208,54451,0,162,87,10600
30PTV_03,False,0.6050930000109089,0,0,864,2470,0,57686,421,4095
30PTV_04,False,0.6977445411908612,0,19,10,42,0,11,65294,160
30PTV_05,False,0.651196184764694,0,0,0,2108,0,1859,0,61569
30PTV_06,True,0.5325000934092312,14,0,2938,46241,0,1142,3531,11670
30PTV_07,True,0.5206859425605445,60,0,1407,32347,0,2131,2823,26768
30PTV_08,True,0.4223240089721423,0,0,3504,17298,0,13307,21222,10205
30PTV_09,False,0.575173972997692,0,0,67,12495,0,5369,178,47427
30PTV_10,True,0.4609860980265459,5,58,563,14348,0,28045,9652,12865
30PTV_11,True,0.44999748454694816,0,0,1586,10670,0,25253,19363,8664
30PTV_12,True,0.5358402740785452,1,0,635,12771,0,4261,45233,2635
30PTV_13,True,0.47046283582643816,0,0,310,28497,0,13137,14371,9221
30PTV_14,True,0.45770058284852966,2,0,1847,23262,0,8578,24976,6871
30PTV_15,True,0.47717604066198255,2,0,3188,26804,223,1431,25645,8243
30PTV_16,True,0.47535237813347925,0,0,1012,25076,0,5700,25525,8223
30PTV_17,True,0.49144366774459813,3,77,555,31127,0,3430,9509,20835
30PTV_18,True,0.4726750965198169,17,0,1465,23298,0,3056,24155,13545
30PTV_19,False,0.5843948281895068,0,0,2218,2796,128,1050,56774,2570
30PTV_20,True,0.452806946695149,1,0,1238,11767,0,8293,21152,23085
30PTV_21,True,0.5201701401579901,81,0,7194,8921,0,175,43989,5176
30PTV_22,True,0.45162731853641225,69,0,8565,12728,0,1194,15676,27304
30PTV_23,False,0.5986211269753741,159,0,333,53672,0,1352,286,9734
30PTV_24,True,0.48052197801312435,0,0,1070,15597,0,9621,34126,5122
30PTV_25,True,0.5260549492262552,0,0,36,17685,0,15596,795,31424
30PTV_26,True,0.45106466772221526,369,6060,1508,33266,0,3760,1410,19163
30PTV_27,True,0.4682661778231223,2,0,480,21158,0,24745,11269,7882
30PTV_28,True,0.3882193764641292,372,4433,2245,30368,429,4539,6942,16208
30PTV_29,True,0.47209778825001925,0,0,197,23858,0,21368,8846,11267
30PWT_00,True,0.344482119695773,1,9734,4405,9002,0,7733,20520,14141
30PWT_01,True,0.5110727852786175,0,491,46083,735,0,5998,5497,6732
30PWT_02,False,0.597825737660195,0,0,731,28263,0,36390,7,145
30PWT_03,False,0.6958018735672674,0,0,203,0,14,5,65197,117
30PWT_04,True,0.5241088261796214,0,0,0,9081,0,9336,4606,42513
30PWT_05,False,0.5977460401028797,0,0,597,16,0,506,44133,20284
30PWT_06,False,0.5610567168786004,0,0,747,525,0,20196,2431,41637
30PWT_07,True,0.5292434910294888,0,1320,445,361,0,14139,6234,43037
30PWT_08,True,0.5118897913870485,0,0,719,3138,0,4850,23303,33526
30PWT_09,True,0.4681434805932014,0,0,158,9810,0,23572,18769,13227
30PWT_10,True,0.45814900688745697,0,0,414,19286,67,8720,20973,16076
30PWT_11,True,0.4491908195014721,0,0,759,13131,0,13601,16292,21753
30PWT_12,True,0.5286158141354048,0,0,9,7510,0,22238,1859,33920
30PWT_13,True,0.5495736135240159,0,0,1321,447,30,12873,4579,46286
30PWT_14,True,0.5454217280378981,2,0,192,3948,0,5917,48828,6649
30PWT_15,True,0.5040838852133879,0,44,434,2663,0,9787,34949,17659
30PWT_16,True,0.5292499618532808,0,0,1409,1466,27,6650,45753,10231
30PWT_17,True,0.4884130259405999,0,0,597,2837,0,15100,27862,19140
30PWT_18,False,0.5867215835930052,0,0,198,1045,0,3642,54315,6336
30PWT_19,True,0.5510696412999824,0,0,95,2153,0,8127,48030,7131
30PWT_20,True,0.5026356707574615,0,0,314,1731,0,19499,26979,17013
30PWT_21,True,0.5340038042182842,0,1127,716,436,0,45395,5170,12692
30PWT_22,True,0.5277783697614473,0,0,569,626,0,24523,8131,31687
30PWT_23,True,0.5216460533666969,0,0,41,1004,0,28531,21856,14104
30PWT_24,False,0.5590356502190692,0,0,88,0,0,6972,36422,22054
30PWT_25,True,0.5065341552902112,0,0,624,2546,0,37768,13307,11291
30PWT_26,True,0.5375423922685062,0,0,325,10,0,17982,14191,33028
30PWT_27,True,0.5246593105529818,0,12,1095,672,9,6173,25929,31646
30PWT_28,False,0.628498765699692,0,0,9,0,0,52435,190,12902
30PWT_29,True,0.5396447112108166,0,0,1373,0,0,8091,40103,15969
31NFH_00,False,0.7049320014357696,0,65536,0,0,0,0,0,0
31NFH_01,False,0.700268623504361,2,0,65356,0,0,0,0,178
31NFH_02,False,0.556724903043358,0,847,3144,0,809,14845,1,45890
31NFH_03,False,0.7047478352372853,0,0,0,0,0,65532,0,4
31NFH_04,False,0.5898947992907808,0,0,970,0,99,9173,52998,2296
31NFH_05,False,0.5556997744750203,0,0,338,68,19,16127,7125,41859
31NFH_06,False,0.5852969232077444,0,0,370,80,0,51281,4037,9768
31NFH_07,True,0.49014355582482166,0,0,14105,0,0,31293,6530,13608
31NFH_08,False,0.6181162445461773,0,0,0,22,0,53030,1002,11482
31NFH_09,False,0.6581791495954709,0,0,0,45,0,61737,378,3376
31NFH_10,False,0.5955664374150057,0,0,0,139,0,41114,1147,23136
31NFH_11,False,0.5738080867001311,0,0,552,0,0,45989,3782,15213
31NFH_12,False,0.6467710045364703,0,169,69,245,91,61127,116,3719
31NFH_13,False,0.6794451597829051,0,0,143,0,0,64295,375,723
31NFH_14,False,0.6870308824125723,0,0,43,0,0,64650,101,742
31NFH_15,False,0.5844476873679285,0,0,437,115,0,37344,1065,26575
31NFH_16,False,0.5714271655052622,0,0,304,0,49,39874,3251,22058
31NFH_17,True,0.5165022999771992,0,1653,887,158,3,42095,11984,8756
31NFH_18,False,0.5756951482486948,0,0,839,0,0,30026,1498,33173
31NFH_19,False,0.6508452127082486,0,480,135,0,0,61982,404,2535
31NFH_20,False,0.624146574783417,0,0,0,0,0,55076,1036,9424
31NFH_21,False,0.6772707061648722,0,0,0,0,0,63404,1,2131
31NFH_22,False,0.6381666837173519,0,0,298,0,12,58607,299,6320
31NFH_23,False,0.6423613341948216,0,0,825,0,0,60326,225,4160
31NFH_24,False,0.6753104230647464,0,0,37,0,0,63765,289,1445
31NFH_25,False,0.5731893800572624,0,708,1247,0,3,49748,1512,12318
31NFH_26,False,0.6671236445224012,0,0,50,0,0,63234,773,1479
31NFH_27,False,0.6653455207387655,0,0,206,0,0,62335,4,2991
31NFH_28,False,0.602282573990316,0,0,2261,226,15,57304,1344,4386
31NFH_29,False,0.6360824891708959,0,0,214,0,0,56973,171,8178
31PGR_00,False,0.5623683925702779,0,17290,45,43933,0,1687,0,2581
31PGR_01,False,0.5623881816021865,0,0,44547,993,0,2017,17301,678
31PGR_02,False,0.6937988743505263,0,0,0,64975,0,4,0,557
31PGR_03,False,0.6787724650212826,0,0,343,1140,0,2,64051,0
31PGR_04,False,0.6890229938381627,0,0,904,0,0,9,64623,0
31PGR_05,False,0.5596898292255991,0,0,162,29485,0,101,30891,4897
31PGR_06,False,0.6798870814826601,0,0,7,63916,0,78,0,1535
31PGR_07,False,0.6774221377147274,0,0,53,63787,0,92,0,1604
31PGR_08,True,0.5411184428100533,0,0,19,39906,0,6869,1398,17344
31PGR_09,True,0.522920001098615,0,0,309,27879,0,5032,2458,29858
31PGR_10,True,0.5248451789656146,0,0,613,33705,0,309,16452,14457
31PGR_11,False,0.5931022555085929,0,0,607,44887,0,227,19317,498
31PGR_12,False,0.6606283075768188,0,0,47,62166,0,415,0,2908
31PGR_13,False,0.580752200455863,0,0,1522,53073,0,67,3576,7298
31PGR_14,True,0.4912849193842638,0,0,1656,24166,0,1188,25285,13241
31PGR_15,True,0.4393634959741142,167,0,3959,14140,0,5591,30790,10889
31PGR_16,False,0.5689716214339927,134,0,385,52669,0,1168,5952,5228
31PGR_17,True,0.5154462352295236,0,30,544,40514,0,2391,9062,12995
31PGR_18,True,0.5357055317105983,63,0,2,37245,0,712,12120,15394
31PGR_19,False,0.5656993314106364,117,0,2954,1532,0,475,51444,9014
31PGR_20,True,0.49410283328409416,14,0,1212,33388,0,6809,20799,3314
31PGR_21,True,0.5486042825215454,1,0,249,12097,0,46,39574,13569
31PGR_22,True,0.5133197251349367,7,0,338,27300,0,8676,1841,27374
31PGR_23,True,0.49693856251119634,2,0,1831,27424,0,609,20665,15005
31PGR_24,False,0.62623965113149,169,0,0,58295,0,189,1135,5748
31PGR_25,False,0.5903661039955318,6,6,27,55555,0,2375,4629,2938
31PGR_26,False,0.5592102802346126,99,0,49,24689,0,5762,21,34916
31PGR_27,False,0.5636451952158867,37,0,75,50041,0,3193,2489,9701
31PGR_28,True,0.4320040568545756,22,284,3327,28497,0,6033,14942,12431
31PGR_29,True,0.49542572734015417,212,0,2078,37296,0,1479,8111,16360
31PGS_00,True,0.41438847801957907,130,29991,2639,15007,0,3131,11483,3155
