identifier,test,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
49QCE_13,False,0,0,3926,0,0,44175,17033,402
43QBD_05,True,0,0,1528,0,0,802,62016,1190
44TLN_29,False,7,0,143,141,0,1622,5862,57761
47ULB_01,True,0,96,9844,0,1216,13287,24396,16697
51PWM_02,False,0,0,0,0,0,65535,1,0
45RWM_17,True,0,0,0,55684,0,0,0,9852
39TXM_22,False,1,0,377,0,0,0,0,65158
57UWA_02,False,679,71,0,4782,36856,6774,0,16374
50UMF_18,False,0,0,211,0,0,27561,0,37764
41TNE_20,True,0,0,0,65536,0,0,0,0
47TQM_05,True,0,0,0,23,125,0,63611,1777
45TYH_15,False,0,0,0,65536,0,0,0,0
46UGV_06,False,0,0,0,0,0,0,0,65536
44TLN_16,False,0,0,0,0,0,0,159,65377
48QTK_13,False,0,0,76,0,160,33228,6602,25470
53UNS_00,False,0,65536,0,0,0,0,0,0
45TWG_11,False,0,0,0,65536,0,0,0,0
50UMF_27,True,0,0,3,0,0,57411,0,8122
45RWM_28,False,0,0,0,60052,0,0,0,5484
50TLP_03,False,0,0,2359,43402,176,0,14922,4677
45TWG_29,False,0,0,0,65536,0,0,0,0
41TNE_27,False,0,0,545,64991,0,0,0,0
47TQM_02,False,0,0,0,65536,0,0,0,0
51PWM_05,False,0,0,4,0,0,1469,1,64062
45RWM_10,False,0,0,111,65076,0,0,0,349
39TXM_25,False,3,0,0,3015,0,0,0,62518
57UWA_05,False,223,0,0,83,58,34506,0,30666
47ULB_06,False,0,0,0,0,0,31637,3032,30867
49QCE_14,False,0,0,742,0,0,57666,6377,751
43QBD_02,False,0,43,457,0,0,54775,2576,7685
50TLP_04,True,57,183,1231,15272,1102,36912,1120,9659
45TWG_16,False,4,0,0,64482,0,0,0,1050
41TNE_18,False,0,0,0,65536,0,0,0,0
50UMF_20,False,0,0,534,0,4,41540,0,23458
53UNS_07,False,12,0,0,0,0,14577,0,50947
44TLN_11,True,0,0,1349,59015,0,0,525,4647
48QTK_14,False,0,0,76,0,0,38073,3186,24201
45TYH_12,False,0,0,0,65536,0,0,0,0
46UGV_01,False,32,0,36912,9449,0,0,5264,13879
45RWM_26,False,0,0,0,57146,0,0,0,8390
39TXM_13,False,19,0,2,35387,0,0,0,30128
41TNE_11,False,0,0,102,65434,0,0,0,0
50UMF_29,False,0,0,515,0,0,45029,0,19992
49TFJ_04,False,0,0,307,51523,0,0,13596,110
49QCE_22,False,0,557,2355,0,0,44214,18062,348
46UGV_08,True,0,0,0,1024,0,3832,0,60680
44TLN_18,False,0,0,273,65202,0,0,3,58
50UMF_16,True,0,0,65,0,0,37013,0,28458
45TWG_20,False,0,0,0,65536,0,0,0,0
45RWM_19,False,0,0,0,65536,0,0,0,0
48QTK_22,False,0,0,78,0,0,36069,4418,24971
44TLN_27,False,3,0,12,495,11,2205,2520,60290
45TYH_24,False,0,2048,0,63488,0,0,0,0
49TFJ_03,False,0,0,0,37888,0,98,27547,3
53UNS_09,False,25,0,0,0,10,27938,58,37505
49QCE_25,False,0,3,903,0,0,52418,3678,8534
41TNE_16,False,0,0,0,65536,0,0,0,0
45TWG_18,False,0,0,0,45056,0,0,0,20480
45RWM_21,False,0,0,0,65421,0,0,0,115
39TXM_14,False,5,2449,72,53740,0,0,0,9270
45TYH_23,False,0,0,0,65536,0,0,0,0
48QTK_25,False,0,0,1001,0,2,49222,13462,1849
44TLN_20,False,14,0,118,21490,0,3618,10,40286
47ULB_08,False,0,0,39,0,0,16409,20387,28701
50UMF_11,False,0,113,924,120,141,55545,0,8693
41TNE_29,False,0,0,0,65536,0,0,0,0
45TWG_27,True,0,0,0,59526,0,0,6010,0
44QMG_11,False,0,0,89,0,0,49506,13376,2565
50MRA_19,False,0,0,0,0,0,61014,3789,733
50MLC_11,False,0,842,3,0,0,63167,213,1311
46RFV_25,False,3,0,0,4505,0,3485,22,57521
51QUG_10,False,70,63,1288,0,170,51644,685,11616
46TDT_20,False,0,1185,0,37157,0,298,0,26896
57VVE_14,True,0,65536,0,0,0,0,0,0
42SXG_08,False,197,0,0,4096,18855,0,0,42388
47RLN_26,False,30,0,0,10240,55266,0,0,0
48SVA_11,False,0,0,294,0,0,60735,2837,1670
47QKC_05,False,0,0,56,0,0,62227,1799,1454
42UVA_12,False,0,0,0,3,0,0,0,65533
50SPF_23,True,0,6,3215,338,3,2,59085,2887
38TLL_00,False,0,65536,0,0,0,0,0,0
50MRA_26,False,0,213,1683,0,7,11676,43494,8463
39UUS_14,False,0,0,435,0,0,9913,0,55188
43TFL_02,False,0,0,0,63488,0,0,0,2048
47UMA_10,False,1,0,5,0,0,11265,3900,50365
53TLM_11,True,0,0,194,0,0,249,64722,371
44RKV_05,True,19,1,135,0,0,819,64420,142
47RLN_19,False,0,0,0,0,0,40379,39,25118
50MRV_02,False,0,54072,0,0,11464,0,0,0
47QKC_02,False,0,0,0,0,0,65536,0,0
47UMA_28,True,0,0,0,0,0,56339,0,9197
42UVA_15,False,0,0,7,0,0,0,7297,58232
47RLN_21,False,0,0,0,63485,0,1,0,2050
53TLM_29,True,0,0,0,0,0,63045,0,2491
48SVA_16,False,0,0,0,0,0,65288,23,225
57VVE_13,False,2,7445,0,0,0,8691,0,49398
51QUG_17,False,0,11,7,0,50,63264,700,1504
46TDT_27,False,0,0,0,64512,0,0,0,1024
50MLC_16,False,0,547,1587,0,0,21814,233,41355
46RFV_22,False,0,1,13,0,46674,220,25,18603
44QMG_16,False,0,0,0,0,0,64944,18,574
54MYA_08,False,4,2128,0,0,38,59669,0,3697
50MRV_05,True,0,16,3991,0,73,486,7106,53864
53TLM_16,False,0,0,83,0,0,1,65243,209
48SVA_29,False,0,0,22,0,0,47095,14063,4356
44RKV_02,False,1,0,0,64511,1024,0,0,0
47UMA_17,True,4,0,54,0,0,39940,20,25518
43TFL_05,False,9,2986,9,15387,0,6098,0,41047
50MRA_21,False,0,4,5075,0,84,12326,36457,11590
39UUS_13,False,0,581,12163,0,70,381,13286,39055
44QMG_29,False,0,0,38,0,0,51987,8384,5127
50SPF_24,False,8,0,6609,0,158,50,58699,12
50MLC_29,False,0,2010,1565,0,0,13266,39710,8985
38TLL_07,False,44,0,4486,250,23,60,59750,923
46TDT_18,False,0,0,0,0,0,0,0,65536
51QUG_28,False,0,1367,91,267,621,43634,16035,3521
57VVE_25,False,3,65533,0,0,0,0,0,0
54MYA_01,False,0,0,51,0,5394,12699,301,47091
41TMN_03,False,0,0,0,47234,12262,0,0,6040
42UVA_23,False,0,0,0,0,0,0,0,65536
48SVA_20,False,0,12,707,0,31,59049,4387,1350
47RLN_17,False,0,0,0,46841,16384,0,0,2311
48MTE_02,False,0,0,0,0,0,65536,0,0
50MRA_28,False,0,0,303,0,0,4337,55001,5895
44QMG_20,False,0,0,1,0,0,29698,272,35565
46TDT_11,True,0,0,0,65536,0,0,0,0
51QUG_21,False,0,0,4,0,50,58969,93,6420
50TNT_03,False,0,0,0,1020,0,64355,0,161
46REU_04,False,0,2164,1021,0,20,11914,30341,20076
46RFV_14,False,0,0,26,1024,6,27613,8705,28162
50MLC_20,False,0,0,139,0,0,4,65392,1
47RLN_28,False,4,0,0,0,0,41317,0,24215
53TLM_20,False,2,0,3338,0,0,82,62008,106
47UMA_21,False,0,98,0,0,0,55284,1013,9141
42SXG_06,False,0,0,0,0,0,3,0,65533
50SPF_12,False,28,0,21367,0,34,0,44099,8
