identifier,test,JS_div,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
59GNM_07,False,0.670181122447732,0,0,1,0,0,3092,0,62443
52KCU_12,False,0.7049320014357696,0,0,0,0,0,0,0,65536
59GNM_00,False,0.7049320014357696,0,65536,0,0,0,0,0,0
52KCU_15,False,0.7049320014357696,0,0,0,0,0,0,0,65536
52KCU_23,False,0.7049320014357696,0,0,0,0,0,0,0,65536
59GNM_09,False,0.666231855501429,0,1075,218,0,31,512,63562,138
52KCU_24,False,0.6224606315077288,18,0,0,20064,0,0,0,45454
55JFN_19,True,0.593395676954404,7,0,1014,0,0,144,31056,33315
55JFN_26,False,0.6477710668269905,122,85,22,0,0,59725,57,5525
55JFN_21,False,0.6676881338330358,0,22,10,0,0,62688,154,2662
55JFN_28,True,0.6056295565040661,1,0,40,0,0,43690,733,21072
55JFN_17,True,0.5771453656934956,0,63,625,0,0,6091,7712,51045
55JFN_10,False,0.698257058290837,3,257,8,0,0,65266,0,2
52KCU_25,False,0.7049320014357696,0,0,0,0,0,0,0,65536
52KCU_22,False,0.7049320014357696,0,0,0,0,0,0,0,65536
59GNM_08,False,0.6707687988937953,8,18,337,0,0,1631,63477,65
59GNM_01,True,0.565003600506328,10,553,51771,0,14,3466,8036,1686
52KCU_14,False,0.7048784629954079,1,0,0,0,0,0,0,65535
59GNM_06,False,0.7039976299795205,0,0,0,0,0,26,0,65510
52KCU_13,False,0.7049320014357696,0,0,0,0,0,0,0,65536
55JFN_11,False,0.6714068613660598,29,3,0,0,0,63157,151,2196
55JFN_29,True,0.5602579214964982,0,0,5409,0,0,684,43075,16368
55JFN_16,False,0.7039537078430699,0,0,19,0,0,65511,0,6
55JFN_20,True,0.5828426081028651,0,1436,88,0,0,2465,9195,52352
55JFN_18,False,0.7048324227854741,0,0,0,0,0,65534,2,0
55JFN_27,True,0.5506082777857119,2,22,294,0,0,32582,7005,25631
51KWR_29,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51JXK_09,False,0.688313422237106,0,0,996,0,0,0,0,64540
51KWR_16,False,0.6168018428761363,0,0,0,33792,0,0,0,31744
51JXH_11,False,0.6908491267463948,0,0,0,0,0,788,0,64748
51JXH_29,False,0.6641324453317721,0,0,0,4093,0,0,0,61443
51JXH_16,False,0.6703709883639858,0,0,0,3072,0,0,0,62464
51KWR_11,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51KWR_18,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51JXK_07,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51KWR_27,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51JXH_20,False,0.7047478352372853,0,0,0,0,0,4,0,65532
51JXH_18,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51JXH_27,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51KWR_20,False,0.6167625848811893,0,0,0,32863,0,0,0,32673
51JXK_00,False,0.7049320014357696,0,0,0,0,0,0,0,65536
55JBF_25,False,0.6722055543034456,0,0,0,0,0,2805,0,62731
59GLK_19,False,0.6949020192818772,9,0,0,0,0,470,0,65057
54KUF_06,False,0.6168675861206665,1,0,0,0,0,34862,0,30673
54HYE_21,False,0.6749290566111822,0,0,232,0,0,309,63967,1028
55HEU_29,False,0.6228981972142524,11,10,28,0,0,13976,275,51236
52KDU_24,False,0.7049320014357696,0,0,0,0,0,0,0,65536
54LWJ_20,True,0.5875548356093869,0,5111,0,1,0,11191,0,49233
53JMG_03,False,0.6190094396814,0,0,0,0,0,25132,0,40404
59GLK_26,False,0.6509276644778856,12,0,135,0,0,3195,61453,741
56JMS_12,False,0.612360427526249,0,0,7,0,0,33277,134,32118
52JGL_14,False,0.6288520811246952,0,9258,0,722,0,0,0,55556
55HEU_16,True,0.5657135999339704,73,16,1470,0,0,1389,28975,33613
54KYA_01,False,0.6706167395996055,0,0,1025,63487,0,0,0,1024
52KDU_23,False,0.7049320014357696,0,0,0,0,0,0,0,65536
54KUF_01,False,0.7049320014357696,0,0,0,65536,0,0,0,0
54HYE_26,True,0.5286708845150467,0,121,1963,0,0,6141,34094,23217
54LWJ_18,False,0.6172908778289419,0,0,0,0,0,29035,0,36501
59GLL_09,True,0.5990004824462888,7,0,4370,0,0,46,53047,8066
55JBF_22,False,0.6751971048313119,0,0,0,0,0,2399,0,63137
54KYA_06,True,0.47727619201369265,0,0,17188,25618,0,8619,0,14111
55HEU_11,True,0.5453444143448352,9,25,379,0,0,8304,22533,34286
52JGL_13,False,0.6542861642800752,0,0,46,0,0,5753,0,59737
59GLK_21,True,0.5525736925024687,0,0,0,0,0,17040,36487,12009
56JMS_15,False,0.6499576130762406,0,24,109,0,0,5295,129,59979
54LWJ_27,False,0.6597798303896215,0,0,0,0,0,4922,0,60614
53JMG_04,False,0.6573613439389937,0,0,0,0,0,5430,0,60106
59GNP_09,True,0.5694507825120402,11,277,1,0,0,30729,31244,3274
54HYE_19,True,0.6077131932775325,0,0,126,0,0,22838,42206,366
55HEU_18,True,0.5380020238902531,1,3098,2127,0,0,49232,8506,2572
52KDU_15,False,0.7049320014357696,0,0,0,0,0,0,0,65536
59GLK_28,False,0.6100563862343065,0,0,0,0,0,25178,364,39994
55JBF_14,False,0.6138177113449769,36,0,0,42,0,32065,0,33393
59GNP_00,False,0.7049320014357696,0,65536,0,0,0,0,0,0
54HYE_10,True,0.6006048297540605,0,0,270,0,0,1936,51457,11873
52JGL_25,False,0.7049320014357696,0,0,0,0,0,0,0,65536
55HEU_27,True,0.5035254834483417,80,197,2058,49,0,11442,29374,22336
54LWJ_11,True,0.5471322660235126,0,13442,0,0,0,19411,0,32683
54KUF_08,False,0.6409976506755808,0,0,0,8590,0,150,0,56796
59GLL_00,False,0.7049320014357696,0,65536,0,0,0,0,0,0
56JMS_23,False,0.6430809314221423,2,0,311,0,0,59022,6076,125
52KHU_05,False,0.7049320014357696,0,0,0,0,0,0,0,65536
59GLK_17,False,0.6187487109384535,145,67,0,0,387,52280,2,12655
54LWJ_29,False,0.6257957407737244,35,0,0,0,0,48543,0,16958
59GNP_07,False,0.6587633637814742,45,83,11,71,0,61951,116,3259
54HYE_17,True,0.6064658115433821,1,24,290,0,0,47166,17562,493
55JBF_13,False,0.6406508531426287,2,0,0,8515,0,171,0,56848
52KDU_12,False,0.7049320014357696,0,0,0,0,0,0,0,65536
54KYA_08,True,0.5587553201572392,0,0,30555,7041,0,12,0,27928
56JMS_24,True,0.6098870442793886,0,0,0,0,0,36579,291,28666
52KHU_02,False,0.6497994834456791,7,0,2,58368,0,0,0,7159
59GLK_10,False,0.6177413801472267,0,0,24,0,6,25109,0,40397
59GLL_07,False,0.623432008786521,0,167,3,0,16,49678,0,15672
54HYE_28,False,0.6521015463028481,0,0,6,0,0,428,60607,4495
54LWJ_16,True,0.609859383625118,0,263,0,0,0,33331,0,31942
55HEU_20,False,0.7032036385831477,0,0,54,0,0,65482,0,0
52JGL_22,False,0.6169208128116277,0,0,0,34816,0,0,0,30720
51JXH_19,False,0.7045936329222715,0,0,0,0,0,8,0,65528
51JXK_01,False,0.7039671808380665,27,0,0,0,0,0,0,65509
51JXH_26,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51KWR_21,False,0.7049320014357696,0,0,0,0,0,0,0,65536
51KWR_19,False,0.7049320014357696,0,0,0,0,0,0,0,65536
