,Region,Subregion,Country,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
17NRB_00,Americas,South America,Colombia,0,21202,165,1311,0,1296,31798,9764
17NRB_00,Americas,South America,Ecuador,0,21202,165,1311,0,1296,31798,9764
17NRB_01,Americas,South America,Colombia,31,27,34376,353,0,240,29639,870
17NRB_01,Americas,South America,Ecuador,31,27,34376,353,0,240,29639,870
17NRB_02,Americas,South America,Colombia,76,0,84,63913,354,129,1,979
17NRB_02,Americas,South America,Ecuador,76,0,84,63913,354,129,1,979
17NRB_03,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
17NRB_04,Americas,South America,Colombia,8,0,0,0,0,65528,0,0
17NRB_05,Americas,South America,Colombia,0,0,452,15,0,31,64918,120
17NRB_05,Americas,South America,Ecuador,0,0,452,15,0,31,64918,120
17NRB_06,Americas,South America,Colombia,0,56,669,0,0,841,5,63965
17NRB_07,Americas,South America,Colombia,0,923,0,0,0,60818,0,3795
17NRB_08,Americas,South America,Colombia,4,0,0,0,0,53444,8,12080
17NRB_09,Americas,South America,Colombia,0,13,388,0,0,552,64088,495
17NRB_09,Americas,South America,Ecuador,0,13,388,0,0,552,64088,495
17NRB_10,Americas,South America,Colombia,0,0,0,0,0,23422,1,42113
17NRB_10,Americas,South America,Ecuador,0,0,0,0,0,23422,1,42113
17NRB_11,Americas,South America,Colombia,0,0,160,0,0,338,64818,220
17NRB_11,Americas,South America,Ecuador,0,0,160,0,0,338,64818,220
17NRB_12,Americas,South America,Colombia,0,75,0,0,0,65461,0,0
17NRB_13,Americas,South America,Colombia,4,0,675,0,7,3911,59114,1825
17NRB_13,Americas,South America,Ecuador,4,0,675,0,7,3911,59114,1825
17NRB_14,Americas,South America,Colombia,10,0,0,2850,0,21583,6208,34885
17NRB_14,Americas,South America,Ecuador,10,0,0,2850,0,21583,6208,34885
17NRB_15,Americas,South America,Colombia,0,0,34,0,1,7785,49049,8667
17NRB_15,Americas,South America,Ecuador,0,0,34,0,1,7785,49049,8667
17NRB_16,Americas,South America,Colombia,0,0,0,0,0,65467,61,8
17NRB_16,Americas,South America,Ecuador,0,0,0,0,0,65467,61,8
17NRB_17,Americas,South America,Colombia,181,100,19,0,14,35615,201,29406
17NRB_17,Americas,South America,Ecuador,181,100,19,0,14,35615,201,29406
17NRB_18,Americas,South America,Colombia,111,467,0,0,9,64718,0,231
17NRB_19,Americas,South America,Colombia,0,18,337,54,0,3358,3270,58499
17NRB_19,Americas,South America,Ecuador,0,18,337,54,0,3358,3270,58499
17NRB_20,Americas,South America,Colombia,8,526,0,0,0,65000,0,2
17NRB_21,Americas,South America,Colombia,0,0,0,0,0,53996,69,11471
17NRB_22,Americas,South America,Colombia,2,243,0,0,43,34260,5,30983
17NRB_22,Americas,South America,Ecuador,2,243,0,0,43,34260,5,30983
17NRB_23,Americas,South America,Colombia,259,81,3820,237,18,11067,22724,27330
17NRB_23,Americas,South America,Ecuador,259,81,3820,237,18,11067,22724,27330
17NRB_24,Americas,South America,Colombia,0,0,0,0,0,65068,0,468
17NRB_25,Americas,South America,Colombia,0,0,0,0,0,29515,373,35648
17NRB_25,Americas,South America,Ecuador,0,0,0,0,0,29515,373,35648
17NRB_26,Americas,South America,Colombia,0,0,0,0,0,63153,1204,1179
17NRB_26,Americas,South America,Ecuador,0,0,0,0,0,63153,1204,1179
17NRB_27,Americas,South America,Colombia,10,814,2215,187,2,7710,40909,13689
17NRB_27,Americas,South America,Ecuador,10,814,2215,187,2,7710,40909,13689
17NRB_28,Americas,South America,Colombia,0,0,0,2022,0,56845,21,6648
17NRB_28,Americas,South America,Ecuador,0,0,0,2022,0,56845,21,6648
17NRB_29,Americas,South America,Colombia,5,0,866,46,0,3522,34179,26918
18GXU_00,Americas,South America,Argentina,0,65536,0,0,0,0,0,0
18GXU_00,Americas,South America,Chile,0,65536,0,0,0,0,0,0
18GXU_01,Americas,South America,Chile,502,9234,27056,0,263,5771,10698,12012
18GXU_02,Americas,South America,Chile,94,31061,267,7888,291,3092,3932,18911
18GXU_03,Americas,South America,Argentina,51,23,6,13691,4763,36771,0,10231
18GXU_03,Americas,South America,Chile,51,23,6,13691,4763,36771,0,10231
18GXU_04,Americas,South America,Argentina,0,0,0,0,0,65536,0,0
18GXU_04,Americas,South America,Chile,0,0,0,0,0,65536,0,0
18GXU_05,Americas,South America,Chile,124,0,542,97,3,4235,52379,8156
18GXU_06,Americas,South America,Argentina,0,0,32,0,0,11261,418,53825
18GXU_06,Americas,South America,Chile,0,0,32,0,0,11261,418,53825
18GXU_07,Americas,South America,Argentina,3,41116,57,19,58,8526,8386,7371
18GXU_07,Americas,South America,Chile,3,41116,57,19,58,8526,8386,7371
18GXU_08,Americas,South America,Argentina,0,55479,0,51,104,7359,4,2539
18GXU_08,Americas,South America,Chile,0,55479,0,51,104,7359,4,2539
18GXU_09,Americas,South America,Argentina,0,63390,141,0,15,604,0,1386
18GXU_09,Americas,South America,Chile,0,63390,141,0,15,604,0,1386
18GXU_10,Americas,South America,Argentina,0,108,10,1,2,49858,1909,13648
18GXU_10,Americas,South America,Chile,0,108,10,1,2,49858,1909,13648
18GXU_11,Americas,South America,Argentina,0,0,0,0,0,58074,470,6992
18GXU_11,Americas,South America,Chile,0,0,0,0,0,58074,470,6992
18GXU_12,Americas,South America,Argentina,0,0,4,0,0,54632,4104,6796
18GXU_12,Americas,South America,Chile,0,0,4,0,0,54632,4104,6796
18GXU_13,Americas,South America,Argentina,0,38,0,0,0,65423,0,75
18GXU_13,Americas,South America,Chile,0,38,0,0,0,65423,0,75
18GXU_14,Americas,South America,Argentina,0,0,0,0,0,64584,0,952
18GXU_14,Americas,South America,Chile,0,0,0,0,0,64584,0,952
18GXU_15,Americas,South America,Argentina,0,0,0,0,0,54672,10,10854
18GXU_15,Americas,South America,Chile,0,0,0,0,0,54672,10,10854
18GXU_16,Americas,South America,Argentina,23,58,717,0,0,26195,6926,31617
18GXU_16,Americas,South America,Chile,23,58,717,0,0,26195,6926,31617
18GXU_17,Americas,South America,Chile,80,5296,2624,20,216,17645,19748,19907
18GXU_18,Americas,South America,Argentina,17,28445,148,21,2451,5027,19233,10194
18GXU_18,Americas,South America,Chile,17,28445,148,21,2451,5027,19233,10194
18GXU_19,Americas,South America,Argentina,22,62323,0,193,252,2308,18,420
18GXU_19,Americas,South America,Chile,22,62323,0,193,252,2308,18,420
18GXU_20,Americas,South America,Argentina,0,65416,120,0,0,0,0,0
18GXU_20,Americas,South America,Chile,0,65416,120,0,0,0,0,0
18GXU_21,Americas,South America,Argentina,31,59168,393,3,954,791,2615,1581
18GXU_21,Americas,South America,Chile,31,59168,393,3,954,791,2615,1581
18GXU_22,Americas,South America,Argentina,111,50,1176,0,44,25077,11101,27977
18GXU_22,Americas,South America,Chile,111,50,1176,0,44,25077,11101,27977
18GXU_23,Americas,South America,Chile,15,40219,76,20,84,5103,10603,9416
18GXU_24,Americas,South America,Chile,72,24358,461,58,576,3024,26761,10226
18GXU_25,Americas,South America,Chile,68,20979,499,0,863,7083,14648,21396
18GXU_26,Americas,South America,Argentina,0,24631,0,0,52,34021,306,6526
18GXU_26,Americas,South America,Chile,0,24631,0,0,52,34021,306,6526
18GXU_27,Americas,South America,Argentina,0,477,0,0,1,59844,0,5214
18GXU_27,Americas,South America,Chile,0,477,0,0,1,59844,0,5214
18GXU_28,Americas,South America,Argentina,0,0,0,0,0,65018,13,505
18GXU_28,Americas,South America,Chile,0,0,0,0,0,65018,13,505
18GXU_29,Americas,South America,Argentina,0,0,0,0,0,65449,0,87
18GXU_29,Americas,South America,Chile,0,0,0,0,0,65449,0,87
18HYD_00,Americas,South America,Argentina,11,27637,0,0,0,36508,0,1380
18HYD_00,Americas,South America,Chile,11,27637,0,0,0,36508,0,1380
18HYD_01,Americas,South America,Argentina,5,70,56247,40,0,125,7437,1612
18HYD_01,Americas,South America,Chile,5,70,56247,40,0,125,7437,1612
18HYD_02,Americas,South America,Argentina,54,0,0,14937,30683,5135,0,14727
18HYD_02,Americas,South America,Chile,54,0,0,14937,30683,5135,0,14727
18HYD_03,Americas,South America,Argentina,0,0,0,0,0,65489,0,47
18HYD_03,Americas,South America,Chile,0,0,0,0,0,65489,0,47
18HYD_04,Americas,South America,Argentina,0,0,158,387,0,66,64924,1
18HYD_04,Americas,South America,Chile,0,0,158,387,0,66,64924,1
18HYD_05,Americas,South America,Argentina,37,2,2041,0,0,7886,22399,33171
18HYD_05,Americas,South America,Chile,37,2,2041,0,0,7886,22399,33171
18HYD_06,Americas,South America,Argentina,0,0,74,11,0,29826,34072,1553
18HYD_06,Americas,South America,Chile,0,0,74,11,0,29826,34072,1553
18HYD_07,Americas,South America,Argentina,0,0,689,0,0,53125,6780,4942
18HYD_07,Americas,South America,Chile,0,0,689,0,0,53125,6780,4942
18HYD_08,Americas,South America,Argentina,0,62,242,27,0,10156,54040,1009
18HYD_08,Americas,South America,Chile,0,62,242,27,0,10156,54040,1009
18HYD_09,Americas,South America,Argentina,0,0,0,5,0,52456,0,13075
18HYD_09,Americas,South America,Chile,0,0,0,5,0,52456,0,13075
18HYD_10,Americas,South America,Argentina,0,209,75,8,0,4722,60404,118
18HYD_10,Americas,South America,Chile,0,209,75,8,0,4722,60404,118
18HYD_11,Americas,South America,Argentina,305,0,18,1367,2,49102,5,14737
18HYD_11,Americas,South America,Chile,305,0,18,1367,2,49102,5,14737
18HYD_12,Americas,South America,Argentina,2,925,1074,4804,0,22029,21910,14792
18HYD_12,Americas,South America,Chile,2,925,1074,4804,0,22029,21910,14792
18HYD_13,Americas,South America,Argentina,4,731,1373,2,0,16706,25328,21392
18HYD_13,Americas,South America,Chile,4,731,1373,2,0,16706,25328,21392
18HYD_14,Americas,South America,Argentina,0,0,0,3375,0,61123,66,972
18HYD_14,Americas,South America,Chile,0,0,0,3375,0,61123,66,972
18HYD_15,Americas,South America,Argentina,8,0,0,609,0,60304,0,4615
18HYD_15,Americas,South America,Chile,8,0,0,609,0,60304,0,4615
18HYD_16,Americas,South America,Argentina,12,1680,777,0,0,37088,11447,14532
18HYD_16,Americas,South America,Chile,12,1680,777,0,0,37088,11447,14532
18HYD_17,Americas,South America,Argentina,4,5,713,658,0,35156,23290,5710
18HYD_17,Americas,South America,Chile,4,5,713,658,0,35156,23290,5710
18HYD_18,Americas,South America,Argentina,103,0,0,1706,0,52575,0,11152
18HYD_18,Americas,South America,Chile,103,0,0,1706,0,52575,0,11152
18HYD_19,Americas,South America,Argentina,0,28,96,0,0,25858,38946,608
18HYD_19,Americas,South America,Chile,0,28,96,0,0,25858,38946,608
18HYD_20,Americas,South America,Argentina,6,0,114,0,0,3601,61772,43
18HYD_20,Americas,South America,Chile,6,0,114,0,0,3601,61772,43
18HYD_21,Americas,South America,Argentina,0,0,243,0,0,8504,55924,865
18HYD_21,Americas,South America,Chile,0,0,243,0,0,8504,55924,865
18HYD_22,Americas,South America,Argentina,10,2295,189,1878,0,11035,6501,43628
18HYD_22,Americas,South America,Chile,10,2295,189,1878,0,11035,6501,43628
18HYD_23,Americas,South America,Argentina,1,1198,815,21,0,26279,29970,7252
18HYD_23,Americas,South America,Chile,1,1198,815,21,0,26279,29970,7252
18HYD_24,Americas,South America,Argentina,14,0,407,0,0,5241,56759,3115
18HYD_24,Americas,South America,Chile,14,0,407,0,0,5241,56759,3115
18HYD_25,Americas,South America,Argentina,222,47,36778,0,0,1981,26394,114
18HYD_25,Americas,South America,Chile,222,47,36778,0,0,1981,26394,114
18HYD_26,Americas,South America,Argentina,19,0,10304,0,0,15631,38677,905
18HYD_26,Americas,South America,Chile,19,0,10304,0,0,15631,38677,905
18HYD_27,Americas,South America,Argentina,22,0,0,0,0,56520,3,8991
18HYD_27,Americas,South America,Chile,22,0,0,0,0,56520,3,8991
18HYD_28,Americas,South America,Argentina,2,0,953,97,0,3712,60454,318
18HYD_28,Americas,South America,Chile,2,0,953,97,0,3712,60454,318
18HYD_29,Americas,South America,Argentina,0,1037,43,3297,0,31791,13715,15653
18HYD_29,Americas,South America,Chile,0,1037,43,3297,0,31791,13715,15653
18HYF_00,Americas,South America,Argentina,0,65536,0,0,0,0,0,0
18HYF_00,Americas,South America,Chile,0,65536,0,0,0,0,0,0
18HYF_01,Americas,South America,Argentina,3,45,64048,0,0,57,1006,377
18HYF_01,Americas,South America,Chile,3,45,64048,0,0,57,1006,377
18HYF_02,Americas,South America,Argentina,2,5112,127,667,0,8166,19310,32152
18HYF_02,Americas,South America,Chile,2,5112,127,667,0,8166,19310,32152
18HYF_03,Americas,South America,Argentina,12,29456,25,10968,32,17088,4029,3926
18HYF_03,Americas,South America,Chile,12,29456,25,10968,32,17088,4029,3926
18HYF_04,Americas,South America,Argentina,0,0,1,0,0,65164,350,21
18HYF_04,Americas,South America,Chile,0,0,1,0,0,65164,350,21
18HYF_05,Americas,South America,Argentina,1,0,262,0,0,221,64885,167
18HYF_05,Americas,South America,Chile,1,0,262,0,0,221,64885,167
18HYF_06,Americas,South America,Argentina,0,0,173,3,0,8,23408,41944
18HYF_06,Americas,South America,Chile,0,0,173,3,0,8,23408,41944
18HYF_07,Americas,South America,Argentina,75,102,475,529,0,1095,62672,588
