identifier,test,JS_div,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
19HGA_29,False,0.7049320014357696,0,0,0,0,0,0,65536,0
19PEK_02,False,0.6005471353574308,661,0,0,0,0,19849,361,44665
18GXU_01,True,0.3961365141815027,502,9234,27056,0,263,5771,10698,12012
21LYD_17,False,0.6124547021988241,2,0,37,0,0,17386,47534,577
19LCK_00,True,0.5319930257525459,351,10825,4,432,0,35310,0,18614
19HGA_16,False,0.7025602533020918,1,0,77,0,0,0,65458,0
19KHV_05,False,0.619552061079705,45,1213,281,1024,0,976,60604,1393
21LYD_28,False,0.6043243772686318,0,595,345,0,0,12211,51965,420
21KVS_01,True,0.45414633082513495,16,0,1703,7338,0,9638,25678,21163
21LYD_10,True,0.5063306616950481,425,316,1423,0,0,33375,10137,19860
18GXU_06,False,0.626960421904713,0,0,32,0,0,11261,418,53825
19PEK_05,False,0.6737524653032969,0,0,0,0,0,2200,101,63235
21KVS_06,False,0.5961521602180494,0,0,63,344,0,50183,1689,13257
19KHV_02,False,0.6616562548018666,0,0,1086,63042,0,4,1119,285
19HGA_11,False,0.6513511120963715,0,0,272,0,79,1824,62191,1170
21NTF_08,False,0.6782931689559876,2,239,328,0,0,64253,0,714
19LCK_07,False,0.6847217232276793,0,0,0,0,0,64212,0,1324
21LYD_26,False,0.6297978019366661,9,0,123,0,0,6349,57936,1119
21MXR_02,False,0.7049320014357696,0,0,0,0,0,65536,0,0
19HGA_18,False,0.5758958682088025,0,0,15,4567,0,0,42036,18918
21NTF_01,False,0.567125378545659,12,4,2973,0,497,31239,0,30811
20JPQ_03,True,0.5283553336940161,60,0,0,1024,0,34415,11465,18572
21LYD_19,False,0.6146022078589808,0,0,0,0,0,21883,43396,257
21LXK_05,False,0.6946506972473862,0,505,0,0,0,65029,0,2
19HGA_27,False,0.5755415572160332,112,0,30,0,0,31940,2876,30578
21NTF_06,False,0.6883840796547214,0,0,144,0,0,64715,0,677
19LCK_09,False,0.6743078719896249,0,0,0,0,0,63020,0,2516
21MXR_05,False,0.5710700207531907,0,0,438,0,0,16002,4332,44764
21KVS_08,True,0.505978146911992,23,997,917,46,0,13613,33678,16262
21LYD_21,True,0.5506223783460561,0,0,6,0,0,35908,13208,16414
19HGA_20,False,0.7049320014357696,0,0,0,0,0,0,65536,0
21LXK_02,False,0.7049320014357696,0,0,0,0,0,65536,0,0
18GXU_08,False,0.6106851338668603,0,55479,0,51,104,7359,4,2539
20JPQ_04,False,0.7049320014357696,0,0,0,0,0,0,65536,0
22NCK_11,False,0.7049320014357696,0,0,0,0,0,65536,0,0
20LKP_01,False,0.5843916391854077,4,0,47429,0,0,4731,0,13372
20LRK_06,False,0.5871136460107232,0,0,300,0,0,24899,38879,1458
19GGM_03,False,0.5890269387524273,0,0,732,35294,0,0,611,28899
18HYF_04,False,0.6963660591408657,0,0,1,0,0,65164,350,21
19PDL_23,True,0.5093122129757055,708,625,651,0,0,33737,8773,21042
19KFA_08,False,0.561013119460404,890,0,2132,27305,0,39,34945,225
22LBN_09,False,0.702459270044175,0,0,0,0,0,65460,64,12
22NCK_16,False,0.6965858663012077,0,0,0,0,0,65160,7,369
19PDL_24,True,0.5238208943856028,1098,37,2918,78,0,29676,1877,29852
